target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,CHN_SH-CRC-3_lefse,CHN_SH-CRC-3_MaAsLin,CHN_SH-CRC-3_Ancom
CHN_WF-CRC,Phocaeicola_vulgatus,Staphylococcus_SGB6340,Phocaeicola_vulgatus,Ruminococcus_bromii,GGB3256_SGB4303,GGB3256_SGB4303,,,,,,,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,,,,Klebsiella_pneumoniae,Ruminococcus_lactaris,,,,,,,
,Phocaeicola_plebeius,Clostridium_sp_AF34_13,,GGB3256_SGB4303,Bacteroides_xylanisolvens,,,,,,,,Eubacterium_ventriosum,Paraprevotella_clara,,,,,Collinsella_SGB14861,Clostridium_sp_AF27_2AA,,,,,,,
,Akkermansia_muciniphila,Ruminococcus_callidus,,Oscillibacter_sp_ER4,Eubacteriaceae_bacterium,,,,,,,,Bacteroides_ovatus,Bacteroides_ovatus,,,,,Vescimonas_SGB15087,Collinsella_SGB14861,,,,,,,
,Bacteroides_fragilis,Alistipes_indistinctus,,Dysosmobacter_sp_BX15,Clostridiaceae_bacterium_Marseille_Q4149,,,,,,,,Coprococcus_comes,Escherichia_coli,,,,,GGB9453_SGB14845,Klebsiella_pneumoniae,,,,,,,
,Ruminococcus_callidus,Phocaeicola_plebeius,,Odoribacter_splanchnicus,Dysosmobacter_sp_BX15,,,,,,,,GGB2653_SGB3574,Clostridium_leptum,,,,,Ruminococcus_lactaris,Faecalibacillus_intestinalis,,,,,,,
,Staphylococcus_SGB6340,Akkermansia_muciniphila,,Ruminococcus_callidus,Coprococcus_SGB4669,,,,,,,,,Intestinimonas_butyriciproducens,,,,,Faecalibacillus_intestinalis,Staphylococcus_SGB6340,,,,,,,
,Clostridium_sp_AF34_13,GGB9345_SGB14311,,Bacteroides_xylanisolvens,Oscillibacter_sp_ER4,,,,,,,,,,,,,,GGB3612_SGB4882,Blautia_glucerasea,,,,,,,
,Alistipes_ihumii,Clostridium_sp_AF12_28,,Eubacteriaceae_bacterium,Alistipes_indistinctus,,,,,,,,,,,,,,Staphylococcus_SGB6340,Alistipes_ihumii,,,,,,,
,Bacteroides_intestinalis,Coprococcus_SGB4669,,Coprococcus_SGB4669,Clostridium_leptum,,,,,,,,,,,,,,Clostridium_sp_AF20_17LB,GGB3612_SGB4882,,,,,,,
,Adlercreutzia_equolifaciens,Alistipes_ihumii,,Dysosmobacter_welbionis,GGB9621_SGB15073,,,,,,,,,,,,,,GGB2653_SGB3574,Clostridium_sp_AF20_17LB,,,,,,,
,Intestinimonas_butyriciproducens,Clostridia_bacterium_UC5_1_1D1,,Erysipelatoclostridium_ramosum,Faecalibacillus_faecis,,,,,,,,,,,,,,Eubacterium_ramulus,GGB9453_SGB14845,,,,,,,
,GGB33512_SGB15201,Bacteroides_intestinalis,,Faecalibacillus_faecis,GGB4566_SGB6305,,,,,,,,,,,,,,Eubacterium_sp_AF34_35BH,Vescimonas_SGB15087,,,,,,,
,Clostridium_sp_AF12_28,Intestinimonas_butyriciproducens,,Bacteroides_intestinalis,Clostridia_bacterium_UC5_1_1D1,,,,,,,,,,,,,,Hydrogenoanaerobacterium_saccharovorans,Eubacterium_sp_AF34_35BH,,,,,,,
,Mediterraneibacter_glycyrrhizinilyticus,Veillonella_parvula,,Veillonella_atypica,,,,,,,,,,,,,,,Blautia_glucerasea,Hydrogenoanaerobacterium_saccharovorans,,,,,,,
,GGB79973_SGB14341,Eisenbergiella_massiliensis,,Veillonella_dispar,,,,,,,,,,,,,,,GGB9453_SGB14844,GGB2653_SGB3574,,,,,,,
,Hungatella_hathewayi,Anaerobutyricum_hallii,,Alistipes_indistinctus,,,,,,,,,,,,,,,Alistipes_ihumii,Eubacterium_ramulus,,,,,,,
,Eisenbergiella_massiliensis,Bacteroides_finegoldii,,Clostridia_bacterium_UC5_1_1D1,,,,,,,,,,,,,,,GGB4566_SGB6305,GGB9453_SGB14844,,,,,,,
,GGB9719_SGB15272,GGB9760_SGB15373,,GGB9719_SGB15272,,,,,,,,,,,,,,,Clostridium_sp_AF27_2AA,GGB9619_SGB15067,,,,,,,
,GGB9697_SGB15213,GGB3278_SGB4328,,Clostridium_sp_AF34_13,,,,,,,,,,,,,,,GGB9619_SGB15067,GGB4566_SGB6305,,,,,,,
,GGB9770_SGB15390,Phocaeicola_vulgatus,,Veillonella_rogosae,,,,,,,,,,,,,,,,GGB9708_SGB15234,,,,,,,
,Anaerostipes_caccae,Bifidobacterium_adolescentis,,,,,,,,,,,,,,,,,,Odoribacter_splanchnicus,,,,,,,
,Eubacterium_sp_AF34_35BH,Bacteroides_fragilis,,,,,,,,,,,,,,,,,,Adlercreutzia_equolifaciens,,,,,,,
,Alistipes_indistinctus,Hungatella_hathewayi,,,,,,,,,,,,,,,,,,Bacteroides_cellulosilyticus,,,,,,,
