Feature,Frequency
Ruminococcus_bromii,20
Bifidobacterium_longum,21
Bifidobacterium_catenulatum,2
Bacteroides_intestinalis,1
Collinsella_SGB14861,11
Negativibacillus_massiliensis,1
Monoglobus_pectinilyticus,2
Slackia_isoflavoniconvertens,1
Clostridium_butyricum,1
Blautia_wexlerae,21
Blautia_massiliensis,20
Faecalibacillus_intestinalis,21
Blautia_obeum,21
Anaerostipes_hadrus,20
Streptococcus_thermophilus,20
Ruminococcus_sp_AF41_9,11
Faecalicatena_fissicatena,10
Dorea_formicigenerans,21
Bifidobacterium_pseudocatenulatum,20
Romboutsia_timonensis,10
Clostridium_symbiosum,11
Megasphaera_micronuciformis,10
Phocaeicola_vulgatus,20
Dorea_longicatena,22
Blautia_faecis,21
Tyzzerella_nexilis,10
Blautia_SGB4815,11
Bacteroides_salyersiae,11
Bacteroides_cellulosilyticus,11
Phocaeicola_massiliensis,20
Dorea_sp_AF36_15AT,11
Lachnospiraceae_bacterium_Marseille_Q4251,10
Veillonella_atypica,10
Evtepia_gabavorous,11
Butyricimonas_SGB15260,10
GGB79973_SGB14341,10
Veillonella_parvula,12
Veillonella_rogosae,10
Lachnospira_sp_NSJ_43,11
Coprococcus_catus,11
Mediterraneibacter_glycyrrhizinilyticus,11
Blautia_luti,12
Alistipes_shahii,21
Ellagibacter_isourolithinifaciens,10
Clostridium_sp_NSJ_42,10
Lachnospiraceae_bacterium_OM04_12BH,10
Butyricimonas_faecihominis,10
Bacteroides_stercoris,11
Clostridium_sp_AM22_11AC,10
Clostridiaceae_bacterium_AF18_31LB,10
Flavonifractor_plautii,9
Holdemania_filiformis,10
Lachnospiraceae_bacterium,11
Fusicatenibacter_saccharivorans,19
Blautia_faecicola,9
Coprococcus_SGB4669,9
Eubacterium_ramulus,11
GGB9593_SGB15015,9
Parabacteroides_merdae,11
Bacteroides_thetaiotaomicron,10
Eubacterium_rectale,2
Blautia_glucerasea,2
Ruminococcus_callidus,1
Alistipes_finegoldii,1
GGB3746_SGB5089,1
Bilophila_wadsworthia,2
Clostridium_sp_AM49_4BH,1
Clostridia_bacterium_UC5_1_1E11,1
GGB14025_SGB14906,2
Alistipes_putredinis,1
Lachnospira_eligens,1
GGB9713_SGB15249,1
Clostridium_sp_AF34_10BH,1
Parasutterella_excrementihominis,1
GGB51647_SGB4348,1
Anaerobutyricum_hallii,2
Coprococcus_comes,2
Clostridiaceae_bacterium,1
Escherichia_coli,1
Anaerotignum_faecicola,1
GGB9614_SGB15049,1
Alistipes_dispar,2
Clostridiales_Family_XIII_bacterium_BX16,2
GGB3278_SGB4328,1
Eubacterium_SGB6276,2
Intestinibacter_bartlettii,1
Bacteroides_finegoldii,2
GGB9642_SGB15119,1
Bacteroides_caccae,2
Candidatus_Cibionibacter_quicibialis,1
Clostridiaceae_bacterium_Marseille_Q4149,1
Odoribacter_splanchnicus,1
Bacteroides_clarus,1
Collinsella_SGB4121,2
Clostridiales_bacterium_Choco116,1
Clostridiales_bacterium_KLE1615,3
Eubacteriaceae_bacterium,2
Butyricicoccus_SGB14990,1
GGB3614_SGB4886,1
GGB9627_SGB15081,1
Clostridium_sp_AM42_4,1
GGB1420_SGB1957,1
Anaerotruncus_colihominis,1
Staphylococcus_SGB6340,1
Vescimonas_SGB15087,1
Barnesiella_intestinihominis,1
Alistipes_ihumii,1
GGB9453_SGB14844,2
Eubacterium_sp_AF34_35BH,1
Clostridium_sp_AF20_17LB,1
Clostridium_sp_AF27_2AA,3
Ruminococcus_sp_BSD2780120874_150323_B10,1
Bifidobacterium_adolescentis,1
Clostridium_sp_AF36_4,1
Parasutterella_SGB9260,1
GGB9699_SGB15216,1
Ruthenibacterium_lactatiformans,1
GGB9602_SGB15031,1
Lachnospiraceae_bacterium_AM48_27BH,1
Streptococcus_salivarius,2
GGB79734_SGB15291,1
Phocaeicola_SGB6473,1
GGB4578_SGB6328,1
Hungatella_hathewayi,1
GGB9602_SGB15028,1
GGB9635_SGB15106,1
GGB3363_SGB4447,1
GGB3363_SGB4448,1
Enterococcus_faecium,1
GGB80011_SGB15267,1
GGB3277_SGB4327,1
Lachnospira_pectinoschiza,1
Ruminococcus_torques,1
Enterococcus_faecalis,1
Ruminococcus_lactaris,1
Eubacterium_ventriosum,2
Blautia_sp_Marseille_P3087,1
Gemmiger_formicilis,1
Roseburia_inulinivorans,1
Paraprevotella_clara,1
Collinsella_aerofaciens,1
Anaerobutyricum_soehngenii,1
Lacrimispora_celerecrescens,1
Lacrimispora_amygdalina,1
Clostridia_bacterium_UC5_1_1D1,1
Eggerthella_lenta,1
Agathobaculum_butyriciproducens,1
Adlercreutzia_equolifaciens,1
Lawsonibacter_asaccharolyticus,1
Merdimonas_faecis,1
GGB34797_SGB14322,1
Clostridium_SGB4750,1
