Feature,Frequency
Bacteroides_uniformis,1
GGB3746_SGB5089,1
GGB3256_SGB4303,1
Lacrimispora_amygdalina,1
Odoribacter_splanchnicus,1
Bacteroides_fragilis,1
Bacteroides_intestinalis,1
Lachnospira_sp_NSJ_43,1
Enterocloster_bolteae,1
Dysosmobacter_sp_NSJ_60,1
Flavonifractor_plautii,1
Intestinimonas_butyriciproducens,1
Alistipes_indistinctus,1
Bacteroides_xylanisolvens,19
Gemmiger_SGB15299,10
GGB9719_SGB15272,11
Akkermansia_muciniphila,9
Staphylococcus_SGB6340,10
Clostridiaceae_bacterium_AF18_31LB,10
Ruminococcus_callidus,10
Veillonella_atypica,9
GGB3278_SGB4328,9
Phocaeicola_plebeius,10
Butyricimonas_faecihominis,9
GGB3109_SGB4119,11
Enterococcus_faecium,9
GGB42994_SGB4746,10
Blautia_producta,9
Anaerostipes_caccae,10
Ruminococcus_bromii,1
Phascolarctobacterium_faecium,1
Paraprevotella_clara,1
Blautia_faecis,1
Bacteroides_nordii,1
Alistipes_senegalensis,1
Rheinheimera_SGB14999,1
Holdemanella_porci,1
GGB3277_SGB4327,1
Clostridium_sp_AF34_13,1
Merdimonas_faecis,1
Streptococcus_infantis,1
