target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,CHN_SH-CRC-3_lefse,CHN_SH-CRC-3_MaAsLin,CHN_SH-CRC-3_Ancom
CHN_WF-CRC,Phocaeicola_plebeius,Bacteroides_xylanisolvens,Bacteroides_xylanisolvens,Bacteroides_uniformis,GGB3256_SGB4303,,,,,,,,Ruminococcus_bromii,Ruminococcus_bromii,,,,,,GGB9619_SGB15067,,,,,,,
,Holdemanella_porci,Gemmiger_SGB15299,,GGB3746_SGB5089,Bacteroides_uniformis,,,,,,,,Phascolarctobacterium_faecium,Paraprevotella_clara,,,,,,Faecalibacillus_intestinalis,,,,,,,
,GGB3277_SGB4327,GGB9719_SGB15272,,GGB3256_SGB4303,Lachnospira_sp_NSJ_43,,,,,,,,Paraprevotella_clara,Lachnospiraceae_bacterium,,,,,,Staphylococcus_SGB6340,,,,,,,
,Bacteroides_xylanisolvens,Akkermansia_muciniphila,,Lacrimispora_amygdalina,GGB3746_SGB5089,,,,,,,,Blautia_faecis,Blautia_wexlerae,,,,,,Clostridium_sp_AF34_13,,,,,,,
,GGB42994_SGB4746,Staphylococcus_SGB6340,,Odoribacter_splanchnicus,Lacrimispora_amygdalina,,,,,,,,Bacteroides_nordii,Phascolarctobacterium_faecium,,,,,,Klebsiella_pneumoniae,,,,,,,
,Ruminococcus_callidus,Clostridiaceae_bacterium_AF18_31LB,,Bacteroides_fragilis,Bacteroides_fragilis,,,,,,,,GGB9719_SGB15272,Blautia_faecis,,,,,,Eubacterium_sp_AF34_35BH,,,,,,,
,Clostridium_sp_AF34_13,Ruminococcus_callidus,,Bacteroides_intestinalis,Alistipes_indistinctus,,,,,,,,Alistipes_senegalensis,Collinsella_SGB4121,,,,,,Bacteroides_cellulosilyticus,,,,,,,
,Staphylococcus_SGB6340,Veillonella_atypica,,Lachnospira_sp_NSJ_43,Flavonifractor_plautii,,,,,,,,GGB3109_SGB4119,GGB3109_SGB4119,,,,,,GGB9453_SGB14845,,,,,,,
,Clostridiaceae_bacterium_AF18_31LB,GGB3278_SGB4328,,Enterocloster_bolteae,Dysosmobacter_welbionis,,,,,,,,Rheinheimera_SGB14999,Allisonella_histaminiformans,,,,,,Bacteroides_xylanisolvens,,,,,,,
,GGB3109_SGB4119,Phocaeicola_plebeius,,Dysosmobacter_sp_NSJ_60,Dysosmobacter_sp_NSJ_60,,,,,,,,,Granulicatella_SGB8255,,,,,,Lachnospira_sp_NSJ_43,,,,,,,
,GGB9719_SGB15272,Butyricimonas_faecihominis,,Flavonifractor_plautii,Intestinimonas_butyriciproducens,,,,,,,,,GGB9719_SGB15272,,,,,,GGB3612_SGB4882,,,,,,,
,Gemmiger_SGB15299,GGB3109_SGB4119,,Intestinimonas_butyriciproducens,Enterocloster_citroniae,,,,,,,,,,,,,,,GGB2653_SGB3574,,,,,,,
,Merdimonas_faecis,Enterococcus_faecium,,Alistipes_indistinctus,Enterocloster_bolteae,,,,,,,,,,,,,,,GGB9760_SGB15373,,,,,,,
,Anaerostipes_caccae,GGB42994_SGB4746,,,Bacteroides_intestinalis,,,,,,,,,,,,,,,GGB9708_SGB15234,,,,,,,
,Streptococcus_infantis,Blautia_producta,,,,,,,,,,,,,,,,,,Vescimonas_SGB15087,,,,,,,
,,Anaerostipes_caccae,,,,,,,,,,,,,,,,,,Blautia_glucerasea,,,,,,,
,,,,,,,,,,,,,,,,,,,,GGB4566_SGB6305,,,,,,,
,,,,,,,,,,,,,,,,,,,,Coprococcus_catus,,,,,,,
,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AF27_2AA,,,,,,,
,,,,,,,,,,,,,,,,,,,,Alistipes_ihumii,,,,,,,
,,,,,,,,,,,,,,,,,,,,GGB9453_SGB14844,,,,,,,
,,,,,,,,,,,,,,,,,,,,Faecalicatena_fissicatena,,,,,,,
,,,,,,,,,,,,,,,,,,,,Lachnospiraceae_bacterium,,,,,,,
,,,,,,,,,,,,,,,,,,,,Clostridiales_bacterium_KLE1615,,,,,,,
,,,,,,,,,,,,,,,,,,,,Collinsella_SGB14861,,,,,,,
,,,,,,,,,,,,,,,,,,,,Clostridiaceae_bacterium_Marseille_Q4143,,,,,,,
