"","Study","Group","Sample_ID"
"SRR13836080","CHN_SH-CRC-2","ADA","SRR13836080"
"SRR13836083","CHN_SH-CRC-2","ADA","SRR13836083"
"SRR13836084","CHN_SH-CRC-2","ADA","SRR13836084"
"SRR13836072","CHN_SH-CRC-2","ADA","SRR13836072"
"SRR13836096","CHN_SH-CRC-2","ADA","SRR13836096"
"SRR13836087","CHN_SH-CRC-2","ADA","SRR13836087"
"SRR13836060","CHN_SH-CRC-2","ADA","SRR13836060"
"SRR13836071","CHN_SH-CRC-2","ADA","SRR13836071"
"SRR13836058","CHN_SH-CRC-2","ADA","SRR13836058"
"SRR13836094","CHN_SH-CRC-2","ADA","SRR13836094"
"SRR13836073","CHN_SH-CRC-2","ADA","SRR13836073"
"SRR13836091","CHN_SH-CRC-2","ADA","SRR13836091"
"SRR13836086","CHN_SH-CRC-2","ADA","SRR13836086"
"SRR13836066","CHN_SH-CRC-2","ADA","SRR13836066"
"SRR13836063","CHN_SH-CRC-2","ADA","SRR13836063"
"SRR13836092","CHN_SH-CRC-2","ADA","SRR13836092"
"SRR13836174","CHN_SH-CRC-2","CTR","SRR13836174"
"SRR13836161","CHN_SH-CRC-2","CTR","SRR13836161"
"SRR13836175","CHN_SH-CRC-2","CTR","SRR13836175"
"SRR13836156","CHN_SH-CRC-2","CTR","SRR13836156"
"SRR13836177","CHN_SH-CRC-2","CTR","SRR13836177"
"SRR13836164","CHN_SH-CRC-2","CTR","SRR13836164"
"SRR13836138","CHN_SH-CRC-2","CTR","SRR13836138"
"SRR13836131","CHN_SH-CRC-2","CTR","SRR13836131"
"SRR13836147","CHN_SH-CRC-2","CTR","SRR13836147"
"SRR13836176","CHN_SH-CRC-2","CTR","SRR13836176"
"SRR13836143","CHN_SH-CRC-2","CTR","SRR13836143"
"SRR13836148","CHN_SH-CRC-2","CTR","SRR13836148"
"SRR13836145","CHN_SH-CRC-2","CTR","SRR13836145"
"SRR13836160","CHN_SH-CRC-2","CTR","SRR13836160"
"SRR13836167","CHN_SH-CRC-2","CTR","SRR13836167"
"SRR13836137","CHN_SH-CRC-2","CTR","SRR13836137"
"SRR13836133","CHN_SH-CRC-2","CTR","SRR13836133"
"SRR13836155","CHN_SH-CRC-2","CTR","SRR13836155"
"SRR13836135","CHN_SH-CRC-2","CTR","SRR13836135"
