2025-01-17 22:12:51 INFO::Writing function arguments to log file
2025-01-17 22:12:51 DEBUG::Function arguments
2025-01-17 22:12:51 DEBUG::Output folder: G:/deeplearning/CRC/benchmarker/code/Meta_iTL/Result/feature//TL/Meta_iTL/FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_CHN_WF-CRC_CHN_SH-CRC-3_US-CRC-3_CHN_SH-CRC-2/S0.2/US-CRC-2_MaAslin
2025-01-17 22:12:51 DEBUG::Min Abundance: 0.000000
2025-01-17 22:12:51 DEBUG::Min Prevalence: 0.000000
2025-01-17 22:12:51 DEBUG::Normalization: NONE
2025-01-17 22:12:51 DEBUG::Transform: LOG
2025-01-17 22:12:51 DEBUG::Analysis method: LM
2025-01-17 22:12:51 DEBUG::Max significance: 0.250000
2025-01-17 22:12:51 DEBUG::Random effects:
2025-01-17 22:12:51 DEBUG::Fixed effects: Group
2025-01-17 22:12:51 DEBUG::Correction method: BH
2025-01-17 22:12:51 DEBUG::Standardize: TRUE
2025-01-17 22:12:51 DEBUG::Cores: 1
2025-01-17 22:12:51 INFO::Verifying options selected are valid
2025-01-17 22:12:51 INFO::Determining format of input files
2025-01-17 22:12:51 INFO::Input format is data samples as rows and metadata samples as rows
2025-01-17 22:12:51 DEBUG::A total of 4 samples were found in both the data and metadata
2025-01-17 22:12:51 DEBUG::Reordering data/metadata to use same sample ordering
2025-01-17 22:12:51 INFO::Formula for fixed effects: expr ~  Group
2025-01-17 22:12:51 INFO::Filter data based on min abundance and min prevalence
2025-01-17 22:12:51 INFO::Total samples in data: 4
2025-01-17 22:12:51 INFO::Min samples required with min abundance for a feature not to be filtered: 0.000000
2025-01-17 22:12:51 INFO::Total filtered features: 175
2025-01-17 22:12:51 INFO::Filtered feature names from abundance and prevalence filtering:
2025-01-17 22:12:51 INFO::Total filtered features with variance filtering: 0
2025-01-17 22:12:51 INFO::Filtered feature names from variance filtering:
2025-01-17 22:12:51 INFO::Running selected normalization method: NONE
2025-01-17 22:12:51 INFO::Applying z-score to standardize continuous metadata
2025-01-17 22:12:51 INFO::Running selected transform method: LOG
2025-01-17 22:12:51 INFO::Running selected analysis method: LM
2025-01-17 22:12:51 INFO::Fitting model to feature number 1, Ruminococcus_bromii
2025-01-17 22:12:51 WARNING::Fitting problem for feature 1 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 2, Coprococcus_eutactus
2025-01-17 22:12:51 WARNING::Fitting problem for feature 2 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 3, Eubacterium_rectale
2025-01-17 22:12:51 WARNING::Fitting problem for feature 3 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 4, Phocaeicola_vulgatus
2025-01-17 22:12:51 WARNING::Fitting problem for feature 4 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 5, Bacteroides_uniformis
2025-01-17 22:12:51 WARNING::Fitting problem for feature 5 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 6, Bacteroides_cellulosilyticus
2025-01-17 22:12:51 WARNING::Fitting problem for feature 6 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 7, Phocaeicola_massiliensis
2025-01-17 22:12:51 WARNING::Fitting problem for feature 7 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 8, GGB4684_SGB6478
2025-01-17 22:12:51 WARNING::Fitting problem for feature 8 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 9, Clostridium_sp_1001270H_150608_G6
2025-01-17 22:12:51 WARNING::Fitting problem for feature 9 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 10, Akkermansia_muciniphila
2025-01-17 22:12:51 WARNING::Fitting problem for feature 10 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 11, GGB3277_SGB4327
2025-01-17 22:12:51 WARNING::Fitting problem for feature 11 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 12, Alistipes_putredinis
2025-01-17 22:12:51 WARNING::Fitting problem for feature 12 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 13, GGB9758_SGB15368
2025-01-17 22:12:51 WARNING::Fitting problem for feature 13 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 14, Roseburia_inulinivorans
2025-01-17 22:12:51 WARNING::Fitting problem for feature 14 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 15, Ruminococcus_lactaris
2025-01-17 22:12:51 WARNING::Fitting problem for feature 15 returning NA
2025-01-17 22:12:51 INFO::Fitting model to feature number 16, Bacteroides_xylanisolvens
2025-01-17 22:12:52 WARNING::Fitting problem for feature 16 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 17, Clostridium_sp_AM49_4BH
2025-01-17 22:12:52 WARNING::Fitting problem for feature 17 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 18, GGB3256_SGB4303
2025-01-17 22:12:52 WARNING::Fitting problem for feature 18 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 19, Paraprevotella_clara
2025-01-17 22:12:52 WARNING::Fitting problem for feature 19 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 20, Eubacterium_SGB6276
2025-01-17 22:12:52 WARNING::Fitting problem for feature 20 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 21, Clostridium_SGB4648
2025-01-17 22:12:52 WARNING::Fitting problem for feature 21 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 22, Eubacterium_ventriosum
2025-01-17 22:12:52 WARNING::Fitting problem for feature 22 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 23, GGB9345_SGB14311
2025-01-17 22:12:52 WARNING::Fitting problem for feature 23 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 24, Dorea_longicatena
2025-01-17 22:12:52 WARNING::Fitting problem for feature 24 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 25, Parabacteroides_distasonis
2025-01-17 22:12:52 WARNING::Fitting problem for feature 25 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 26, Faecalibacterium_prausnitzii
2025-01-17 22:12:52 WARNING::Fitting problem for feature 26 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 27, Roseburia_faecis
2025-01-17 22:12:52 WARNING::Fitting problem for feature 27 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 28, Coprococcus_comes
2025-01-17 22:12:52 WARNING::Fitting problem for feature 28 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 29, GGB3746_SGB5089
2025-01-17 22:12:52 WARNING::Fitting problem for feature 29 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 30, Intestinibacter_bartlettii
2025-01-17 22:12:52 WARNING::Fitting problem for feature 30 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 31, Firmicutes_bacterium_AF16_15
2025-01-17 22:12:52 WARNING::Fitting problem for feature 31 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 32, Bacteroides_caccae
2025-01-17 22:12:52 WARNING::Fitting problem for feature 32 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 33, Ruminococcus_torques
2025-01-17 22:12:52 WARNING::Fitting problem for feature 33 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 34, GGB9342_SGB14306
2025-01-17 22:12:52 WARNING::Fitting problem for feature 34 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 35, Dorea_formicigenerans
2025-01-17 22:12:52 WARNING::Fitting problem for feature 35 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 36, Clostridium_sp_1001270J_160509_D11
2025-01-17 22:12:52 WARNING::Fitting problem for feature 36 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 37, GGB9636_SGB15107
2025-01-17 22:12:52 WARNING::Fitting problem for feature 37 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 38, Ruminococcus_bicirculans
2025-01-17 22:12:52 WARNING::Fitting problem for feature 38 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 39, Lachnospiraceae_bacterium
2025-01-17 22:12:52 WARNING::Fitting problem for feature 39 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 40, Faecalibacillus_intestinalis
2025-01-17 22:12:52 WARNING::Fitting problem for feature 40 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 41, Blautia_wexlerae
2025-01-17 22:12:52 WARNING::Fitting problem for feature 41 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 42, Eubacterium_siraeum
2025-01-17 22:12:52 WARNING::Fitting problem for feature 42 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 43, Eubacteriaceae_bacterium
2025-01-17 22:12:52 WARNING::Fitting problem for feature 43 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 44, GGB3653_SGB4964
2025-01-17 22:12:52 WARNING::Fitting problem for feature 44 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 45, Staphylococcus_SGB6340
2025-01-17 22:12:52 WARNING::Fitting problem for feature 45 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 46, Parabacteroides_merdae
2025-01-17 22:12:52 WARNING::Fitting problem for feature 46 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 47, Phascolarctobacterium_faecium
2025-01-17 22:12:52 WARNING::Fitting problem for feature 47 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 48, Clostridiaceae_bacterium
2025-01-17 22:12:52 WARNING::Fitting problem for feature 48 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 49, Faecalicatena_fissicatena
2025-01-17 22:12:52 WARNING::Fitting problem for feature 49 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 50, Blautia_sp_Marseille_P3087
2025-01-17 22:12:52 WARNING::Fitting problem for feature 50 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 51, Escherichia_coli
2025-01-17 22:12:52 WARNING::Fitting problem for feature 51 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 52, Streptococcus_thermophilus
2025-01-17 22:12:52 WARNING::Fitting problem for feature 52 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 53, Bacteroides_stercoris
2025-01-17 22:12:52 WARNING::Fitting problem for feature 53 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 54, GGB9747_SGB15356
2025-01-17 22:12:52 WARNING::Fitting problem for feature 54 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 55, Clostridiales_bacterium_KLE1615
2025-01-17 22:12:52 WARNING::Fitting problem for feature 55 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 56, Blautia_faecis
2025-01-17 22:12:52 WARNING::Fitting problem for feature 56 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 57, GGB9512_SGB14909
2025-01-17 22:12:52 WARNING::Fitting problem for feature 57 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 58, Candidatus_Cibionibacter_quicibialis
2025-01-17 22:12:52 WARNING::Fitting problem for feature 58 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 59, Blautia_obeum
2025-01-17 22:12:52 WARNING::Fitting problem for feature 59 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 60, GGB9635_SGB15106
2025-01-17 22:12:52 WARNING::Fitting problem for feature 60 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 61, Anaerostipes_hadrus
2025-01-17 22:12:52 WARNING::Fitting problem for feature 61 returning NA
2025-01-17 22:12:52 INFO::Fitting model to feature number 62, Blautia_sp_MSK_20_85
2025-01-17 22:12:52 WARNING::Fitting problem for feature 62 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 63, Fusicatenibacter_saccharivorans
2025-01-17 22:12:53 WARNING::Fitting problem for feature 63 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 64, Anaerobutyricum_hallii
2025-01-17 22:12:53 WARNING::Fitting problem for feature 64 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 65, Clostridium_sp_AF34_10BH
2025-01-17 22:12:53 WARNING::Fitting problem for feature 65 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 66, Eubacterium_sp_AF16_48
2025-01-17 22:12:53 WARNING::Fitting problem for feature 66 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 67, Lachnospiraceae_bacterium_BX3
2025-01-17 22:12:53 WARNING::Fitting problem for feature 67 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 68, Streptococcus_salivarius
2025-01-17 22:12:53 WARNING::Fitting problem for feature 68 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 69, Roseburia_hominis
2025-01-17 22:12:53 WARNING::Fitting problem for feature 69 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 70, Blautia_SGB4815
2025-01-17 22:12:53 WARNING::Fitting problem for feature 70 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 71, GGB9712_SGB15244
2025-01-17 22:12:53 WARNING::Fitting problem for feature 71 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 72, Clostridiaceae_bacterium_AF18_31LB
2025-01-17 22:12:53 WARNING::Fitting problem for feature 72 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 73, Collinsella_SGB14861
2025-01-17 22:12:53 WARNING::Fitting problem for feature 73 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 74, Lacrimispora_celerecrescens
2025-01-17 22:12:53 WARNING::Fitting problem for feature 74 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 75, Clostridium_sp_AF36_4
2025-01-17 22:12:53 WARNING::Fitting problem for feature 75 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 76, Dysosmobacter_sp_BX15
2025-01-17 22:12:53 WARNING::Fitting problem for feature 76 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 77, Coprococcus_catus
2025-01-17 22:12:53 WARNING::Fitting problem for feature 77 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 78, Butyricicoccus_sp_AM29_23AC
2025-01-17 22:12:53 WARNING::Fitting problem for feature 78 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 79, Dorea_sp_AF24_7LB
2025-01-17 22:12:53 WARNING::Fitting problem for feature 79 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 80, Coprococcus_SGB4669
2025-01-17 22:12:53 WARNING::Fitting problem for feature 80 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 81, Faecalibacterium_SGB15346
2025-01-17 22:12:53 WARNING::Fitting problem for feature 81 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 82, Eubacterium_ramulus
2025-01-17 22:12:53 WARNING::Fitting problem for feature 82 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 83, Clostridium_saudiense
2025-01-17 22:12:53 WARNING::Fitting problem for feature 83 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 84, Alistipes_shahii
2025-01-17 22:12:53 WARNING::Fitting problem for feature 84 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 85, Blautia_massiliensis
2025-01-17 22:12:53 WARNING::Fitting problem for feature 85 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 86, Blautia_glucerasea
2025-01-17 22:12:53 WARNING::Fitting problem for feature 86 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 87, Agathobaculum_butyriciproducens
2025-01-17 22:12:53 WARNING::Fitting problem for feature 87 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 88, GGB33469_SGB15236
2025-01-17 22:12:53 WARNING::Fitting problem for feature 88 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 89, GGB79734_SGB15291
2025-01-17 22:12:53 WARNING::Fitting problem for feature 89 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 90, Hydrogenoanaerobacterium_saccharovorans
2025-01-17 22:12:53 WARNING::Fitting problem for feature 90 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 91, Oscillibacter_sp_ER4
2025-01-17 22:12:53 WARNING::Fitting problem for feature 91 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 92, Clostridiales_Family_XIII_bacterium_BX16
2025-01-17 22:12:53 WARNING::Fitting problem for feature 92 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 93, GGB9602_SGB15028
2025-01-17 22:12:53 WARNING::Fitting problem for feature 93 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 94, Oscillospiraceae_unclassified_SGB15256
2025-01-17 22:12:53 WARNING::Fitting problem for feature 94 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 95, Roseburia_sp_AF02_12
2025-01-17 22:12:53 WARNING::Fitting problem for feature 95 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 96, GGB9602_SGB15031
2025-01-17 22:12:53 WARNING::Fitting problem for feature 96 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 97, Waltera_intestinalis
2025-01-17 22:12:53 WARNING::Fitting problem for feature 97 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 98, Dorea_sp_AF36_15AT
2025-01-17 22:12:53 WARNING::Fitting problem for feature 98 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 99, Bilophila_wadsworthia
2025-01-17 22:12:53 WARNING::Fitting problem for feature 99 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 100, Romboutsia_timonensis
2025-01-17 22:12:53 WARNING::Fitting problem for feature 100 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 101, Lachnospiraceae_bacterium_Marseille_Q4251
2025-01-17 22:12:53 WARNING::Fitting problem for feature 101 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 102, Bifidobacterium_longum
2025-01-17 22:12:53 WARNING::Fitting problem for feature 102 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 103, Roseburia_intestinalis
2025-01-17 22:12:53 WARNING::Fitting problem for feature 103 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 104, GGB9608_SGB15041
2025-01-17 22:12:53 WARNING::Fitting problem for feature 104 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 105, Oscillospiraceae_bacterium
2025-01-17 22:12:53 WARNING::Fitting problem for feature 105 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 106, GGB9760_SGB15374
2025-01-17 22:12:53 WARNING::Fitting problem for feature 106 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 107, Alistipes_communis
2025-01-17 22:12:53 WARNING::Fitting problem for feature 107 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 108, Bifidobacterium_adolescentis
2025-01-17 22:12:53 WARNING::Fitting problem for feature 108 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 109, Prevotella_copri_clade_C
2025-01-17 22:12:53 WARNING::Fitting problem for feature 109 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 110, Ruminococcus_callidus
2025-01-17 22:12:53 WARNING::Fitting problem for feature 110 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 111, Prevotella_copri_clade_A
2025-01-17 22:12:53 WARNING::Fitting problem for feature 111 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 112, Collinsella_aerofaciens
2025-01-17 22:12:53 WARNING::Fitting problem for feature 112 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 113, Gemmiger_formicilis
2025-01-17 22:12:53 WARNING::Fitting problem for feature 113 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 114, Bacteroides_thetaiotaomicron
2025-01-17 22:12:53 WARNING::Fitting problem for feature 114 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 115, Holdemanella_porci
2025-01-17 22:12:53 WARNING::Fitting problem for feature 115 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 116, GGB9760_SGB15373
2025-01-17 22:12:53 WARNING::Fitting problem for feature 116 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 117, GGB34797_SGB14322
2025-01-17 22:12:53 WARNING::Fitting problem for feature 117 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 118, Holdemanella_biformis
2025-01-17 22:12:53 WARNING::Fitting problem for feature 118 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 119, GGB9759_SGB15370
2025-01-17 22:12:53 WARNING::Fitting problem for feature 119 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 120, Slackia_isoflavoniconvertens
2025-01-17 22:12:53 WARNING::Fitting problem for feature 120 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 121, Ruminococcus_sp_AF41_9
2025-01-17 22:12:53 WARNING::Fitting problem for feature 121 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 122, Streptococcus_parasanguinis
2025-01-17 22:12:53 WARNING::Fitting problem for feature 122 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 123, GGB80011_SGB15265
2025-01-17 22:12:53 WARNING::Fitting problem for feature 123 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 124, Vescimonas_coprocola
2025-01-17 22:12:53 WARNING::Fitting problem for feature 124 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 125, Rothia_mucilaginosa
2025-01-17 22:12:53 WARNING::Fitting problem for feature 125 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 126, Faecalibacterium_SGB15315
2025-01-17 22:12:53 WARNING::Fitting problem for feature 126 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 127, Gemmiger_SGB15295
2025-01-17 22:12:53 WARNING::Fitting problem for feature 127 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 128, Phocaeicola_SGB6473
2025-01-17 22:12:53 WARNING::Fitting problem for feature 128 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 129, Clostridium_leptum
2025-01-17 22:12:53 WARNING::Fitting problem for feature 129 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 130, Eggerthella_lenta
2025-01-17 22:12:53 WARNING::Fitting problem for feature 130 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 131, Bifidobacterium_pseudocatenulatum
2025-01-17 22:12:53 WARNING::Fitting problem for feature 131 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 132, GGB3304_SGB4367
2025-01-17 22:12:53 WARNING::Fitting problem for feature 132 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 133, Phascolarctobacterium_succinatutens
2025-01-17 22:12:53 WARNING::Fitting problem for feature 133 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 134, Phocaeicola_plebeius
2025-01-17 22:12:53 WARNING::Fitting problem for feature 134 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 135, Lachnospira_pectinoschiza
2025-01-17 22:12:53 WARNING::Fitting problem for feature 135 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 136, Anaerobutyricum_soehngenii
2025-01-17 22:12:53 WARNING::Fitting problem for feature 136 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 137, GGB51647_SGB4348
2025-01-17 22:12:53 WARNING::Fitting problem for feature 137 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 138, Clostridium_sp_NSJ_42
2025-01-17 22:12:53 WARNING::Fitting problem for feature 138 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 139, Streptococcus_gordonii
2025-01-17 22:12:53 WARNING::Fitting problem for feature 139 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 140, Ruthenibacterium_lactatiformans
2025-01-17 22:12:53 WARNING::Fitting problem for feature 140 returning NA
2025-01-17 22:12:53 INFO::Fitting model to feature number 141, GGB9770_SGB15390
2025-01-17 22:12:54 WARNING::Fitting problem for feature 141 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 142, GGB47687_SGB2286
2025-01-17 22:12:54 WARNING::Fitting problem for feature 142 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 143, Eisenbergiella_tayi
2025-01-17 22:12:54 WARNING::Fitting problem for feature 143 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 144, Clostridium_scindens
2025-01-17 22:12:54 WARNING::Fitting problem for feature 144 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 145, GGB9719_SGB15272
2025-01-17 22:12:54 WARNING::Fitting problem for feature 145 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 146, Clostridium_SGB6179
2025-01-17 22:12:54 WARNING::Fitting problem for feature 146 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 147, Anaeromassilibacillus_sp_An250
2025-01-17 22:12:54 WARNING::Fitting problem for feature 147 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 148, Bifidobacterium_dentium
2025-01-17 22:12:54 WARNING::Fitting problem for feature 148 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 149, Ruminococcus_sp_AF46_10NS
2025-01-17 22:12:54 WARNING::Fitting problem for feature 149 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 150, Ruminococcus_sp_BSD2780120874_150323_B10
2025-01-17 22:12:54 WARNING::Fitting problem for feature 150 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 151, GGB3175_SGB4191
2025-01-17 22:12:54 WARNING::Fitting problem for feature 151 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 152, GGB4566_SGB6305
2025-01-17 22:12:54 WARNING::Fitting problem for feature 152 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 153, Eubacterium_sp_AF34_35BH
2025-01-17 22:12:54 WARNING::Fitting problem for feature 153 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 154, Adlercreutzia_equolifaciens
2025-01-17 22:12:54 WARNING::Fitting problem for feature 154 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 155, Alistipes_sp_AF17_16
2025-01-17 22:12:54 WARNING::Fitting problem for feature 155 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 156, Evtepia_gabavorous
2025-01-17 22:12:54 WARNING::Fitting problem for feature 156 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 157, Ruminococcus_gnavus
2025-01-17 22:12:54 WARNING::Fitting problem for feature 157 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 158, GGB3005_SGB3996
2025-01-17 22:12:54 WARNING::Fitting problem for feature 158 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 159, Mediterraneibacter_glycyrrhizinilyticus
2025-01-17 22:12:54 WARNING::Fitting problem for feature 159 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 160, Clostridiaceae_bacterium_Marseille_Q3526
2025-01-17 22:12:54 WARNING::Fitting problem for feature 160 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 161, Clostridia_bacterium
2025-01-17 22:12:54 WARNING::Fitting problem for feature 161 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 162, Clostridia_bacterium_UC5_1_1D1
2025-01-17 22:12:54 WARNING::Fitting problem for feature 162 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 163, GGB3730_SGB5060
2025-01-17 22:12:54 WARNING::Fitting problem for feature 163 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 164, Butyricimonas_SGB15260
2025-01-17 22:12:54 WARNING::Fitting problem for feature 164 returning NA
2025-01-17 22:12:54 INFO::Fitting model to feature number 165, GGB3363_SGB4448
2025-01-17 22:12:54 WARNING::Fitting problem for feature 165 returning NA
