,Unnamed: 0,target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_WF-CRC_lefse,CHN_WF-CRC_MaAsLin,CHN_WF-CRC_Ancom,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,Feature
0,0,CHN_SH-CRC-4,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Ruminococcus_sp_BSD2780120874_150323_B10,Clostridium_sp_1001270H_150608_G6,Bacteroides_ovatus,Megamonas_funiformis,Megamonas_funiformis,,GGB1495_SGB2071,Akkermansia_muciniphila,,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Dialister_invisus,Clostridium_sp_AF20_17LB,,Roseburia_intestinalis,Faecalibacillus_intestinalis,Roseburia_intestinalis,Anaerobutyricum_soehngenii,GGB9619_SGB15067,,Prevotella_copri_clade_A,Escherichia_coli,Clostridium_sp_AF34_10BH,Ruminococcus_sp_BSD2780120874_150323_B10
1,1,,Phocaeicola_coprocola,Phascolarctobacterium_faecium,Eubacterium_ventriosum,Clostridium_sp_1001270H_150608_G6,GGB3277_SGB4327,,Enterocloster_aldenensis,Blautia_faecis,,GGB9635_SGB15106,GGB3277_SGB4327,,Phascolarctobacterium_faecium,Phascolarctobacterium_faecium,Phascolarctobacterium_faecium,Bacteroides_caccae,Lacrimispora_amygdalina,,Oscillibacter_sp_ER4,Lachnospiraceae_bacterium,,GGB3363_SGB4447,Gemmiger_SGB15299,,Escherichia_coli,Clostridium_sp_AF34_10BH,,Clostridium_sp_1001270H_150608_G6
2,2,,Parabacteroides_distasonis,GGB9712_SGB15244,Parabacteroides_distasonis,Bacteroides_ovatus,Bacteroides_faecis,,Bacteroides_faecis,Enterocloster_aldenensis,,Akkermansia_muciniphila,Clostridium_SGB4648,,Ruminococcus_lactaris,Bacteroides_nordii,,Bacteroides_stercoris,GGB2998_SGB3988,,Gemmiger_SGB15295,Oscillospiraceae_bacterium,,Parasutterella_excrementihominis,Anaerobutyricum_soehngenii,,Bacteroides_stercoris,Holdemania_filiformis,,Bacteroides_ovatus
3,3,,Candidatus_Cibionibacter_quicibialis,Klebsiella_pneumoniae,Coprococcus_comes,Bacteroides_faecis,GGB9359_SGB14334,,,Bacteroides_faecis,,Flavonifractor_plautii,Eubacterium_ventriosum,,Tyzzerella_nexilis,Megasphaera_micronuciformis,,Alistipes_finegoldii,Rheinheimera_SGB14999,,Oscillospiraceae_bacterium,GGB9342_SGB14306,,GGB9619_SGB15067,GGB3363_SGB4447,,Clostridium_sp_AF34_10BH,Clostridiaceae_bacterium,,Bacteroides_faecis
4,4,,Phascolarctobacterium_faecium,Enterococcus_faecalis,Phascolarctobacterium_faecium,GGB9636_SGB15107,Bacteroides_ovatus,,,Faecalibacterium_prausnitzii,,Lachnospira_eligens,Faecalicatena_fissicatena,,Bacteroides_nordii,Ruminococcus_lactaris,,Ruminococcus_lactaris,Lawsonibacter_asaccharolyticus,,Lachnospiraceae_bacterium,Oscillibacter_sp_ER4,,GGB33469_SGB15236,,,Faecalibacterium_SGB15315,Streptococcus_thermophilus,,GGB9636_SGB15107
5,5,,Alistipes_shahii,Megasphaera_micronuciformis,Candidatus_Cibionibacter_quicibialis,Coprococcus_comes,GGB9635_SGB15106,,,Blautia_wexlerae,,Faecalicatena_fissicatena,GGB9512_SGB14909,,Ruminococcus_callidus,GGB3653_SGB4964,,Bacteroides_finegoldii,Alistipes_ihumii,,Clostridium_sp_AF27_2AA,Clostridium_SGB4909,,Butyricimonas_paravirosa,,,Enterobacter_hormaechei,Bacteroides_stercoris,,Coprococcus_comes
6,6,,Ruminococcus_sp_BSD2780120874_150323_B10,Clostridiaceae_bacterium,Clostridium_SGB4750,Desulfovibrio_piger,GGB9712_SGB15244,,,Clostridiaceae_bacterium,,GGB3277_SGB4327,Clostridium_fessum,,Alistipes_communis,GGB14025_SGB14906,,Bacteroides_thetaiotaomicron,Eisenbergiella_massiliensis,,Blautia_SGB4815,Roseburia_intestinalis,,Gemmiger_SGB15299,,,Streptococcus_thermophilus,Clostridium_sp_AF27_2AA,,Desulfovibrio_piger
7,7,,Ruminococcus_torques,Parasutterella_excrementihominis,Collinsella_SGB4121,GGB9359_SGB14334,Collinsella_SGB14861,,,Bacteroides_xylanisolvens,,GGB9602_SGB15031,Lachnospira_eligens,,Alistipes_sp_AF17_16,Ruminococcus_callidus,,Faecalibacterium_SGB15315,Bacteroides_caccae,,Faecalibacillus_intestinalis,GGB9759_SGB15370,,Clostridia_bacterium_UC5_1_1D1,,,Roseburia_intestinalis,Roseburia_intestinalis,,GGB9359_SGB14334
8,8,,Megamonas_funiformis,Ruminococcus_callidus,Ruminococcus_sp_BSD2780120874_150323_B10,Coprococcus_SGB4669,Coprobacter_fastidiosus,,,Fusicatenibacter_saccharivorans,,Bacteroides_xylanisolvens,Blautia_SGB4815,,Enterococcus_faecium,GGB9759_SGB15370,,Odoribacter_splanchnicus,Ruminococcus_lactaris,,GGB9342_SGB14306,Clostridium_sp_NSJ_42,,,,,Enterococcus_faecalis,Ruminococcus_sp_AF41_9,,Coprococcus_SGB4669
9,9,,Klebsiella_pneumoniae,Ellagibacter_isourolithinifaciens,,Collinsella_SGB14861,Coprococcus_SGB4669,,,Bifidobacterium_bifidum,,Clostridium_fessum,GGB9524_SGB14924,,Clostridiales_bacterium_Choco116,Ruminococcus_sp_AF41_9,,Parasutterella_SGB9260,Parasutterella_SGB9260,,GGB9453_SGB14844,Vescimonas_SGB15087,,,,,Clostridium_sp_AF27_2AA,Streptococcus_infantis,,Collinsella_SGB14861
10,10,,Coprococcus_comes,GGB3653_SGB4964,,Blautia_luti,Blautia_glucerasea,,,,,Bacteroides_caccae,GGB9635_SGB15106,,Sellimonas_intestinalis,Enterococcus_faecium,,Clostridiales_bacterium,Alistipes_communis,,GGB33512_SGB15201,GGB9453_SGB14844,,,,,Lawsonibacter_asaccharolyticus,Lawsonibacter_asaccharolyticus,,Blautia_luti
11,11,,Butyricimonas_SGB15260,GGB9642_SGB15119,,Ruminococcus_callidus,Desulfovibrio_piger,,,,,Eubacterium_ventriosum,GGB34797_SGB14322,,GGB9759_SGB15370,Alistipes_sp_AF17_16,,Alistipes_ihumii,Dysosmobacter_welbionis,,Clostridium_SGB4909,GGB33512_SGB15201,,,,,Holdemania_filiformis,Streptococcus_mitis,,Ruminococcus_callidus
12,12,,Anaerobutyricum_hallii,GGB9614_SGB15049,,Blautia_glucerasea,Blautia_luti,,,,,Clostridium_SGB4648,,,Butyricimonas_faecihominis,Tyzzerella_nexilis,,Lawsonibacter_asaccharolyticus,GGB3109_SGB4119,,Vescimonas_SGB15087,Blautia_luti,,,,,Ruminococcus_sp_AF41_9,,,Blautia_glucerasea
13,13,,GGB9699_SGB15216,Streptococcus_thermophilus,,Coprobacter_fastidiosus,GGB9602_SGB15028,,,,,GGB9512_SGB14909,,,Enterobacter_hormaechei,Clostridiales_bacterium_Choco116,,Dysosmobacter_welbionis,Alistipes_finegoldii,,GGB9759_SGB15370,GGB3614_SGB4886,,,,,Eisenbergiella_tayi,,,Coprobacter_fastidiosus
14,14,,Clostridium_SGB4750,Clostridiales_Family_XIII_bacterium_BX16,,Clostridium_scindens,GGB9627_SGB15081,,,,,Clostridiaceae_bacterium_Marseille_Q4143,,,Megasphaera_micronuciformis,Sellimonas_intestinalis,,Alistipes_communis,Dialister_invisus,,Clostridium_sp_NSJ_42,Butyricimonas_virosa,,,,,GGB3109_SGB4119,,,Clostridium_scindens
15,15,,Coprobacter_fastidiosus,GGB3109_SGB4119,,GGB9712_SGB15244,Erysipelatoclostridium_ramosum,,,,,Clostridium_sp_AM22_11AC,,,,Clostridium_sp_AM42_4,,Blautia_sp_MSK_20_85,Odoribacter_splanchnicus,,,Butyricicoccus_sp_AM29_23AC,,,,,Streptococcus_mitis,,,GGB9712_SGB15244
