,target_study,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,CHN_SH-CRC-4_lefse,CHN_SH-CRC-4_MaAsLin,CHN_SH-CRC-4_Ancom,Feature
0,CHN_SH-CRC-2,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus
1,,Bifidobacterium_longum,Desulfovibrio_SGB5077,Ruthenibacterium_lactatiformans,Bifidobacterium_longum,Desulfovibrio_SGB5077,Ruthenibacterium_lactatiformans,Bifidobacterium_longum
2,,Phocaeicola_coprocola,Bifidobacterium_adolescentis,Phocaeicola_coprocola,Phocaeicola_coprocola,Bifidobacterium_adolescentis,Phocaeicola_coprocola,Phocaeicola_coprocola
3,,Megamonas_funiformis,Phocaeicola_coprocola,,Megamonas_funiformis,Phocaeicola_coprocola,,Megamonas_funiformis
4,,Klebsiella_pneumoniae,Megamonas_funiformis,,Klebsiella_pneumoniae,Megamonas_funiformis,,Klebsiella_pneumoniae
5,,Ruthenibacterium_lactatiformans,Clostridium_sp_AF34_10BH,,Ruthenibacterium_lactatiformans,Clostridium_sp_AF34_10BH,,Ruthenibacterium_lactatiformans
6,,Parasutterella_SGB9260,GGB9758_SGB15368,,Parasutterella_SGB9260,GGB9758_SGB15368,,Parasutterella_SGB9260
7,,Bacteroides_salyersiae,GGB4578_SGB6328,,Bacteroides_salyersiae,GGB4578_SGB6328,,Bacteroides_salyersiae
8,,GGB9758_SGB15368,Dysosmobacter_sp_NSJ_60,,GGB9758_SGB15368,Dysosmobacter_sp_NSJ_60,,GGB9758_SGB15368
9,,Alistipes_sp_AF17_16,GGB3619_SGB4894,,Alistipes_sp_AF17_16,GGB3619_SGB4894,,Alistipes_sp_AF17_16
10,,Veillonella_atypica,Veillonella_rogosae,,Veillonella_atypica,Veillonella_rogosae,,Veillonella_atypica
11,,Bifidobacterium_adolescentis,GGB3612_SGB4882,,Bifidobacterium_adolescentis,GGB3612_SGB4882,,Bifidobacterium_adolescentis
12,,Dysosmobacter_welbionis,GGB51269_SGB5062,,Dysosmobacter_welbionis,GGB51269_SGB5062,,Dysosmobacter_welbionis
13,,Eubacterium_ventriosum,Bacteroides_salyersiae,,Eubacterium_ventriosum,Bacteroides_salyersiae,,Eubacterium_ventriosum
14,,Clostridium_sp_AF34_10BH,Clostridium_sp_AF20_17LB,,Clostridium_sp_AF34_10BH,Clostridium_sp_AF20_17LB,,Clostridium_sp_AF34_10BH
15,,Desulfovibrio_SGB5077,Dorea_sp_AF24_7LB,,Desulfovibrio_SGB5077,Dorea_sp_AF24_7LB,,Desulfovibrio_SGB5077
16,,Citrobacter_freundii,Blautia_glucerasea,,Citrobacter_freundii,Blautia_glucerasea,,Citrobacter_freundii
17,,GGB51269_SGB5062,Klebsiella_pneumoniae,,GGB51269_SGB5062,Klebsiella_pneumoniae,,GGB51269_SGB5062
18,,Eubacterium_SGB6276,Bifidobacterium_longum,,Eubacterium_SGB6276,Bifidobacterium_longum,,Eubacterium_SGB6276
19,,Clostridium_fessum,Rheinheimera_SGB14999,,Clostridium_fessum,Rheinheimera_SGB14999,,Clostridium_fessum
20,,GGB4578_SGB6328,Veillonella_atypica,,GGB4578_SGB6328,Veillonella_atypica,,GGB4578_SGB6328
21,,GGB9602_SGB15031,Streptococcus_mitis,,GGB9602_SGB15031,Streptococcus_mitis,,GGB9602_SGB15031
22,,GGB9595_SGB15019,Ruthenibacterium_lactatiformans,,GGB9595_SGB15019,Ruthenibacterium_lactatiformans,,GGB9595_SGB15019
23,,Clostridium_sp_AF20_17LB,GGB9595_SGB15019,,Clostridium_sp_AF20_17LB,GGB9595_SGB15019,,Clostridium_sp_AF20_17LB
24,,Clostridium_sp_AM42_4,Alistipes_sp_AF17_16,,Clostridium_sp_AM42_4,Alistipes_sp_AF17_16,,Clostridium_sp_AM42_4
25,,GGB3612_SGB4882,Clostridium_sp_AM42_4,,GGB3612_SGB4882,Clostridium_sp_AM42_4,,GGB3612_SGB4882
26,,Dysosmobacter_sp_NSJ_60,Dysosmobacter_welbionis,,Dysosmobacter_sp_NSJ_60,Dysosmobacter_welbionis,,Dysosmobacter_sp_NSJ_60
27,,Blautia_glucerasea,Clostridium_fessum,,Blautia_glucerasea,Clostridium_fessum,,Blautia_glucerasea
28,,Streptococcus_mitis,Eubacterium_SGB6276,,Streptococcus_mitis,Eubacterium_SGB6276,,Streptococcus_mitis
29,,,Faecalibacterium_SGB15346,,,Faecalibacterium_SGB15346,,GGB3619_SGB4894
30,,,GGB9616_SGB15051,,,GGB9616_SGB15051,,Veillonella_rogosae
31,,,GGB9524_SGB14924,,,GGB9524_SGB14924,,Dorea_sp_AF24_7LB
32,,,Enterocloster_SGB14313,,,Enterocloster_SGB14313,,Rheinheimera_SGB14999
33,,,GGB9602_SGB15031,,,GGB9602_SGB15031,,Faecalibacterium_SGB15346
