Feature,Frequency
Ruminococcus_sp_BSD2780120874_150323_B10,20
Clostridium_sp_1001270H_150608_G6,1
Bacteroides_ovatus,1
Bacteroides_faecis,2
GGB9636_SGB15107,2
Coprococcus_comes,11
Desulfovibrio_piger,11
GGB9359_SGB14334,2
Coprococcus_SGB4669,1
Collinsella_SGB14861,1
Blautia_luti,2
Ruminococcus_callidus,12
Blautia_glucerasea,2
Coprobacter_fastidiosus,2
Clostridium_scindens,1
GGB9712_SGB15244,11
GGB9602_SGB15028,1
GGB9524_SGB14924,2
GGB9627_SGB15081,2
Clostridiales_Family_XIII_bacterium_BX16,11
GGB9707_SGB15229,1
Enterocloster_clostridioformis,1
Turicibacter_sanguinis,1
Phocaeicola_vulgatus,20
Phascolarctobacterium_faecium,20
Klebsiella_pneumoniae,10
Enterococcus_faecalis,11
Megasphaera_micronuciformis,11
Clostridiaceae_bacterium,9
Parasutterella_excrementihominis,11
Ellagibacter_isourolithinifaciens,9
GGB3653_SGB4964,10
GGB9642_SGB15119,10
GGB9614_SGB15049,10
Streptococcus_thermophilus,11
GGB3109_SGB4119,12
Streptococcus_mitis,10
Ruminococcus_SGB4421,10
Clostridium_sp_AM42_4,10
Clostridium_SGB4750,20
Phocaeicola_coprocola,10
GGB42994_SGB4746,10
Clostridiales_bacterium_Choco116,10
Faecalicatena_fissicatena,10
Butyricimonas_SGB15260,10
Faecalibacterium_prausnitzii,9
Ruminococcus_bicirculans,9
Clostridium_sp_AM33_3,9
Eubacterium_ventriosum,20
Clostridium_sp_AF34_10BH,10
Clostridium_sp_AM22_11AC,10
Dorea_sp_AF24_7LB,10
Roseburia_intestinalis,11
GGB3304_SGB4367,9
Parabacteroides_distasonis,10
Candidatus_Cibionibacter_quicibialis,10
Collinsella_SGB4121,10
Megamonas_funiformis,2
Enterocloster_aldenensis,1
GGB1495_SGB2071,1
GGB9635_SGB15106,1
Akkermansia_muciniphila,1
Flavonifractor_plautii,3
Lachnospira_eligens,1
GGB3277_SGB4327,1
GGB9602_SGB15031,1
Bacteroides_xylanisolvens,1
Clostridium_fessum,2
Bacteroides_caccae,2
Clostridium_SGB4648,1
GGB9512_SGB14909,1
Clostridiaceae_bacterium_Marseille_Q4143,1
Ruminococcus_lactaris,2
Tyzzerella_nexilis,1
Bacteroides_nordii,1
Alistipes_communis,2
Alistipes_sp_AF17_16,2
Enterococcus_faecium,2
Sellimonas_intestinalis,1
GGB9759_SGB15370,3
Butyricimonas_faecihominis,1
Enterobacter_hormaechei,3
Dialister_invisus,1
Bacteroides_stercoris,2
Alistipes_finegoldii,1
Bacteroides_finegoldii,1
Bacteroides_thetaiotaomicron,1
Faecalibacterium_SGB15315,3
Odoribacter_splanchnicus,1
Parasutterella_SGB9260,1
Clostridiales_bacterium,2
Alistipes_ihumii,2
Lawsonibacter_asaccharolyticus,2
Dysosmobacter_welbionis,1
Blautia_sp_MSK_20_85,2
Lacrimispora_amygdalina,2
GGB2653_SGB3574,1
Rheinheimera_SGB14999,1
GGB2998_SGB3988,1
Clostridium_sp_AF20_17LB,1
Lacrimispora_saccharolytica,1
Lachnospira_pectinoschiza,1
Enterocloster_bolteae,2
Faecalimonas_umbilicata,1
GGB9619_SGB15067,2
Erysipelatoclostridium_ramosum,1
Eisenbergiella_massiliensis,1
Anaerobutyricum_soehngenii,1
GGB3363_SGB4447,1
GGB33469_SGB15236,2
Butyricimonas_paravirosa,1
Gemmiger_SGB15299,2
Clostridia_bacterium_UC5_1_1D1,2
Prevotella_copri_clade_A,1
Escherichia_coli,1
Clostridium_sp_AF27_2AA,2
Holdemania_filiformis,1
Ruminococcus_sp_AF41_9,1
Eisenbergiella_tayi,1
Streptococcus_infantis,1
Oscillibacter_sp_ER4,1
Gemmiger_SGB15295,1
Oscillospiraceae_bacterium,1
Lachnospiraceae_bacterium,1
Blautia_SGB4815,1
Faecalibacillus_intestinalis,1
GGB9342_SGB14306,1
GGB9453_SGB14844,1
GGB33512_SGB15201,1
Clostridium_SGB4909,1
Vescimonas_SGB15087,1
Clostridium_sp_NSJ_42,1
Alistipes_shahii,1
Ruminococcus_torques,1
Anaerobutyricum_hallii,1
GGB9699_SGB15216,1
GGB9713_SGB15249,1
GGB3256_SGB4303,1
Bacteroides_cellulosilyticus,1
Clostridium_sp_AM49_4BH,1
Faecalibacillus_faecis,1
Oscillospiraceae_unclassified_SGB15256,1
Coprococcus_catus,1
Blautia_sp_Marseille_P3087,1
Eubacterium_sp_AF16_48,1
GGB80140_SGB15224,1
GGB9608_SGB15041,1
GGB3614_SGB4886,1
Senegalimassilia_anaerobia,1
Oscillospiraceae_bacterium_Marseille_Q3528,1
Clostridiaceae_bacterium_Marseille_Q4145,1
Clostridium_sp_AF36_4,1
GGB9767_SGB15385,1
Enterocloster_citroniae,1
GGB33928_SGB15225,1
GGB9760_SGB15373,1
Dysosmobacter_sp_NSJ_60,1
Merdimonas_faecis,1
