Feature,Frequency
Phocaeicola_vulgatus,23
Ruminococcus_bromii,21
Blautia_wexlerae,11
Bifidobacterium_longum,20
Bacteroides_eggerthii,1
Blautia_faecis,20
Desulfovibrio_piger,10
Clostridiaceae_unclassified_SGB15090,1
Bacteroides_thetaiotaomicron,21
Eubacteriaceae_bacterium,1
Alistipes_communis,1
GGB3612_SGB4882,1
Staphylococcus_SGB6340,2
GGB9512_SGB14909,1
Bifidobacterium_catenulatum,12
Clostridium_leptum,1
Acidaminococcus_intestini,1
Erysipelatoclostridium_ramosum,1
Turicibacter_bilis,11
Faecalicatena_fissicatena,21
Blautia_obeum,19
Bacteroides_salyersiae,20
Clostridiales_bacterium,20
Adlercreutzia_equolifaciens,12
Clostridium_sp_AF34_13,11
Holdemania_filiformis,11
Lachnospiraceae_bacterium_Marseille_Q4251,10
Eubacterium_sp_AF34_35BH,11
Anaerobutyricum_hallii,19
Lachnospiraceae_bacterium,12
Faecalibacterium_prausnitzii,21
Parabacteroides_merdae,20
Bacteroides_stercoris,19
Phocaeicola_massiliensis,19
Lachnospira_sp_NSJ_43,11
Anaerostipes_hadrus,10
Fusicatenibacter_saccharivorans,20
Lachnospiraceae_bacterium_BX3,11
Streptococcus_salivarius,11
Clostridiales_Family_XIII_bacterium_BX16,10
GGB9760_SGB15373,10
Ruminococcus_sp_AF41_9,10
Flavonifractor_plautii,10
Butyricimonas_faecihominis,10
GGB9619_SGB15067,12
Blautia_faecicola,10
Butyricimonas_SGB15260,9
Coprococcus_catus,11
Intestinibacter_bartlettii,10
GGB3614_SGB4886,9
Eggerthella_lenta,9
Anaeromassilibacillus_sp_An250,10
Alistipes_ihumii,11
GGB9453_SGB14844,11
Blautia_glucerasea,11
Streptococcus_gordonii,11
GGB3175_SGB4191,10
Clostridium_sp_AT4,9
Megasphaera_micronuciformis,9
Ruminococcus_bicirculans,10
Clostridia_bacterium_UC5_1_1D1,10
Faecalibacillus_intestinalis,11
Candidatus_Cibionibacter_quicibialis,10
Phocaeicola_dorei,1
GGB3746_SGB5089,1
Clostridiaceae_bacterium_AF18_31LB,1
Clostridium_sp_AF20_17LB,1
Eubacteriales_unclassified_SGB15145,1
Lachnospira_eligens,1
Waltera_intestinalis,1
Sutterella_wadsworthensis,2
Gemmiger_SGB15295,1
Anaerotignum_faecicola,1
Ruminococcus_sp_AF46_10NS,2
Clostridium_sp_AF34_10BH,1
GGB9760_SGB15374,1
GGB9627_SGB15081,2
Clostridium_sp_AF12_28,1
Veillonella_atypica,1
Allisonella_histaminiformans,1
Bacteroides_clarus,1
GGB9642_SGB15119,1
Faecalimonas_umbilicata,1
Paraprevotella_clara,1
Alistipes_shahii,2
Odoribacter_splanchnicus,1
Clostridiales_bacterium_KLE1615,3
Haemophilus_parainfluenzae,1
Coprococcus_SGB4669,1
Clostridiales_bacterium_Choco116,1
Collinsella_SGB4121,1
Clostridia_bacterium_UC5_1_1E11,1
Enterocloster_citroniae,1
Monoglobus_pectinilyticus,1
Clostridium_sp_AM42_4,1
Mediterraneibacter_glycyrrhizinilyticus,2
Eisenbergiella_tayi,1
Ruminococcus_callidus,1
GGB9453_SGB14845,1
Klebsiella_pneumoniae,2
Eubacterium_siraeum,1
Vescimonas_SGB15087,1
Eubacterium_ramulus,1
GGB2653_SGB3574,1
Blautia_luti,2
Clostridium_sp_AF27_2AA,1
Oscillospiraceae_bacterium_Marseille_Q3528,1
Eubacterium_ventriosum,1
GGB9770_SGB15390,2
GGB4566_SGB6305,1
Eubacterium_rectale,1
Clostridium_sp_AM22_11AC,1
Dorea_longicatena,2
Bilophila_wadsworthia,2
Alistipes_finegoldii,1
Blautia_SGB4815,1
Gemmiger_formicilis,1
Firmicutes_bacterium_AF16_15,1
Blautia_massiliensis,1
Ruminococcus_lactaris,1
Tyzzerella_nexilis,1
Collinsella_SGB14861,1
Dysosmobacter_welbionis,1
GGB9636_SGB15107,1
Clostridium_symbiosum,1
Clostridium_sp_NSJ_42,1
GGB9719_SGB15272,1
Gemella_sanguinis,1
Ellagibacter_isourolithinifaciens,1
Streptococcus_infantis,1
Merdimonas_faecis,1
GGB9621_SGB15073,1
GGB79973_SGB14341,1
