"","SRR13836098","SRR13836083","SRR13836086","SRR13836088","SRR13836068","SRR13836077","SRR13836099","SRR13836076","SRR13836070","SRR13836143","SRR13836178","SRR13836172","SRR13836139"
"Ruminococcus_bromii",0.0171970807134171,0.000384445559713899,0,0.173304172103476,0.000616001027348546,0.279998429046745,0,0.0488222570807837,0.000268170768414617,0.000967109056996562,0.258116279761594,0.0233582788662169,0.0624277601368527
"Coprococcus_eutactus",0,0.0410810051258863,0,0,0.00332366768732812,0.016999631086475,0,0,0,0.269344824893652,0,0.0201556490247851,0.0593415528429246
"Dialister_invisus",0.00613223602532689,0.0637336717333835,0.0288612361532798,0.0335786708899842,0,0,0.000131855467480346,0,0,0.000882567804668619,0.00101280243327416,0,0.987795077043926
"Eubacterium_rectale",0.0364245051828825,0.0049798868105438,0.129385585119991,0.0735739732677337,0.564475218129852,1.84823015221564e-05,0,0.0286981964168322,0.236083835823876,0.0931024763391183,0.0131167264218175,0.00479009647866762,0.000679393414232552
"Phocaeicola_vulgatus",0.562986479155979,0.0290706720749053,0.245707182393593,0.197237644894467,0.238298197146493,0.32883150982081,0.522032446867296,0.413086494539073,0.688860618043697,0.502106176846521,0.629450206347615,0.661121754613387,0.533470077657922
"Bacteroides_uniformis",0.137560913970467,0.557262637781893,0.32443055787564,0.974794482371663,0.317837607579829,0.33288531312117,0.293273847453893,0.367491175591957,0.119340827286054,0.20800017967263,1.12789475460532,0.448606273262366,1.38898134562036
"GGB3619_SGB4894",0,0.0119428230209077,0,0.011491319929434,0,0,0,0,0,0.0150246774568982,0.00392518861322562,0,0
"Bacteroides_cellulosilyticus",0.00415161438326092,4.45558668130473e-05,0,0.0156586247624914,0.000711250998475846,0.0168546574221403,0.000113177862061735,0.0169393716858395,0.000101652068791186,0,0.0774620989177897,0.000156347269823692,0
"Phocaeicola_massiliensis",0.0602064521053329,0.00119316631256341,0.000363804341237093,0.149983369600975,0.00123780029815689,0.0452338149019057,0.00018055858301287,0.0457967388400932,0.30734248438278,0.0968718244529459,0.00155016095633004,0.480130049938597,0.000478215181684553
"GGB4684_SGB6478",0,0.033215456638795,0,0,0,0,0,0,0,0.0106897001434584,0,0.00246873474956144,0
"Clostridium_sp_1001270H_150608_G6",0.0310407768568956,5.52228980584114e-05,0,0.0524498365651839,0,0,0,0,0,1.04824038237464e-05,0,0.0303899677468694,0.166633602142399
