feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Phascolarctobacterium_faecium	Group	CTR	3.02824010756952	0.888983433431939	156	70	0.000839771420982093	0.297279083027661
Phocaeicola_vulgatus	Group	CTR	2.95019741722501	0.962290828610637	156	129	0.00256439438630784	0.453897806376487
Coprococcus_eutactus	Group	CTR	-0.617938646537138	0.59855476870163	156	32	0.303510619630477	0.901222729047606
Eubacterium_rectale	Group	CTR	-1.03152776387111	0.869749689655226	156	97	0.237446826849779	0.901222729047606
Bacteroides_cellulosilyticus	Group	CTR	-1.05971307930804	0.975408314226016	156	62	0.278986300998265	0.901222729047606
Alistipes_putredinis	Group	CTR	-1.59074446613946	1.08141287761625	156	95	0.143334957499214	0.901222729047606
GGB9758_SGB15368	Group	CTR	-0.816849002092041	0.483822891989921	156	28	0.0933733628513883	0.901222729047606
Ruminococcus_lactaris	Group	CTR	1.16321834850208	0.616791536997221	156	38	0.0611889689000768	0.901222729047606
Clostridium_sp_AM49_4BH	Group	CTR	-0.505441734591327	0.467941736137948	156	27	0.281769355506918	0.901222729047606
GGB3256_SGB4303	Group	CTR	-1.04162397254962	0.595229766605146	156	26	0.08211821722403	0.901222729047606
Paraprevotella_clara	Group	CTR	-0.481282207139177	0.341787344101953	156	40	0.161107082947407	0.901222729047606
Clostridium_SGB4648	Group	CTR	-0.0232558139534762	0.0142698335271981	156	1	0.105204713700956	0.901222729047606
Eubacterium_ventriosum	Group	CTR	0.8862964132402	0.68616916217411	156	96	0.198410540309937	0.901222729047606
GGB9345_SGB14311	Group	CTR	0.572164798707536	0.606835453165584	156	20	0.347226003838955	0.901222729047606
Odoribacter_splanchnicus	Group	CTR	-0.919575946848342	0.759992688409414	156	120	0.228140583259705	0.901222729047606
Dorea_longicatena	Group	CTR	0.516416438523066	0.500390017040617	156	101	0.303677101208043	0.901222729047606
Parabacteroides_distasonis	Group	CTR	-0.689062100609033	0.611856467637384	156	136	0.261840143892438	0.901222729047606
Faecalibacterium_prausnitzii	Group	CTR	1.77929795572975	0.801317309156646	156	143	0.0278472704585344	0.901222729047606
Roseburia_faecis	Group	CTR	-0.901639598365212	0.853808901293123	156	89	0.292612734127266	0.901222729047606
Firmicutes_bacterium_AF16_15	Group	CTR	-1.01389382565976	0.91067215010204	156	92	0.267294313301705	0.901222729047606
Bacteroides_caccae	Group	CTR	-0.965343081149305	1.00280080727843	156	97	0.337233870382572	0.901222729047606
Clostridium_sp_1001270J_160509_D11	Group	CTR	-0.510658360709098	0.459467902499426	156	26	0.268122979650928	0.901222729047606
GGB9636_SGB15107	Group	CTR	0.353522395573589	0.230220911209154	156	7	0.12669364019431	0.901222729047606
Phocaeicola_dorei	Group	CTR	-2.18457055599251	1.17127969970872	156	112	0.0640680716947167	0.901222729047606
Ruminococcus_bicirculans	Group	CTR	0.89129210536314	0.83486128515073	156	55	0.287374826694824	0.901222729047606
Faecalibacillus_intestinalis	Group	CTR	0.589613828388415	0.584285265512146	156	64	0.314500094528167	0.901222729047606
Blautia_wexlerae	Group	CTR	0.642879267223361	0.39522633540539	156	150	0.105864350511396	0.901222729047606
GGB3653_SGB4964	Group	CTR	-1.39632960634881	0.671332399784854	156	37	0.0391881339691116	0.901222729047606
GGB3614_SGB4886	Group	CTR	-0.265100403134333	0.178413080990701	156	4	0.139355202543133	0.901222729047606
Clostridiaceae_bacterium	Group	CTR	0.936022077531705	0.551885482605934	156	138	0.09189812938003	0.901222729047606
Faecalicatena_fissicatena	Group	CTR	0.470708836097437	0.43078770438572	156	43	0.276245037990914	0.901222729047606
GGB51269_SGB5062	Group	CTR	-0.102321458811737	0.103863000895789	156	4	0.326091760854578	0.901222729047606
Streptococcus_thermophilus	Group	CTR	1.23364304159098	0.704923353040075	156	62	0.0821033610393439	0.901222729047606
Bacteroides_stercoris	Group	CTR	-1.28931166293242	1.35220876692241	156	98	0.341838267545248	0.901222729047606
Clostridiales_bacterium_KLE1615	Group	CTR	0.758748591531425	0.679738755234224	156	107	0.266059948502052	0.901222729047606
Anaerostipes_hadrus	Group	CTR	0.86500637491582	0.739366400862313	156	122	0.243836867887838	0.901222729047606
Lachnospiraceae_bacterium_AM48_27BH	Group	CTR	-0.349968961303964	0.351587281166593	156	47	0.321104622579099	0.901222729047606
Bacteroides_salyersiae	Group	CTR	-0.368896676349379	0.358607849287166	156	29	0.305237862686205	0.901222729047606
Fusicatenibacter_saccharivorans	Group	CTR	0.833595393112955	0.705508088494654	156	124	0.239204380689458	0.901222729047606
Clostridium_sp_AF34_10BH	Group	CTR	0.724920429427801	0.719111715516672	156	120	0.314998489765906	0.901222729047606
Haemophilus_parainfluenzae	Group	CTR	-0.873852543477917	0.785819429338569	156	100	0.267859444303938	0.901222729047606
Parasutterella_excrementihominis	Group	CTR	1.31505435387785	0.721326770918727	156	53	0.0702267635189217	0.901222729047606
Clostridium_sp_AM22_11AC	Group	CTR	0.582311560533222	0.618271361216392	156	82	0.347750605962748	0.901222729047606
Lacrimispora_celerecrescens	Group	CTR	1.3076961830577	0.803605722989058	156	59	0.105720735223281	0.901222729047606
Clostridium_sp_AF36_4	Group	CTR	-0.372675660465604	0.347456462434481	156	25	0.285136459966436	0.901222729047606
