Feature,Frequency
Parabacteroides_distasonis,21
Lachnospira_eligens,2
Clostridiaceae_unclassified_SGB15090,11
GGB9708_SGB15234,1
Blautia_luti,2
Romboutsia_timonensis,1
Collinsella_SGB14861,2
Blautia_caecimuris,2
Blautia_glucerasea,2
GGB3614_SGB4886,2
Acidaminococcus_intestini,1
GGB9767_SGB15385,1
Phocaeicola_vulgatus,20
Prevotella_copri_clade_A,12
Bacteroides_ovatus,21
Phascolarctobacterium_faecium,20
Blautia_producta,19
Senegalimassilia_anaerobia,11
Bacteroides_stercoris,11
Clostridium_sp_AF27_2AA,12
Bacteroides_fragilis,20
Alistipes_indistinctus,10
Blautia_hansenii,10
Enterocloster_clostridioformis,20
Clostridium_sp_AF20_17LB,10
Ruminococcus_callidus,11
Phascolarctobacterium_succinatutens,10
Enterobacter_hormaechei,10
Bacteroides_faecis,9
Ruminococcus_gnavus,20
Eubacterium_rectale,21
GGB3277_SGB4327,10
Clostridium_sp_AM49_4BH,19
GGB9636_SGB15107,10
Clostridiaceae_unclassified_SGB4771,9
GGB9712_SGB15244,10
Clostridium_sp_NSJ_42,9
Clostridiales_bacterium_Choco116,10
Clostridia_bacterium_UC5_1_1E11,9
Anaerostipes_caccae,10
Clostridiaceae_bacterium_Marseille_Q3526,10
Bacteroides_uniformis,10
Coprococcus_comes,10
Candidatus_Cibionibacter_quicibialis,10
Fusicatenibacter_saccharivorans,10
Anaerobutyricum_hallii,10
Coprococcus_catus,10
GGB9699_SGB15216,11
Bacteroides_thetaiotaomicron,10
Flavonifractor_plautii,11
Dysosmobacter_welbionis,10
Enterocloster_aldenensis,12
Enterocloster_bolteae,10
Erysipelatoclostridium_ramosum,11
Blautia_wexlerae,1
Oscillibacter_sp_ER4,1
Alistipes_putredinis,2
GGB1495_SGB2071,2
Streptococcus_thermophilus,2
Anaerobutyricum_soehngenii,2
Clostridium_SGB4648,1
Odoribacter_splanchnicus,1
GGB9627_SGB15081,2
Oscillospiraceae_bacterium_Marseille_Q3528,2
Parasutterella_excrementihominis,3
Haemophilus_parainfluenzae,2
Akkermansia_muciniphila,1
Blautia_massiliensis,2
Blautia_faecis,2
Dorea_formicigenerans,1
Clostridiaceae_bacterium,1
Alistipes_dispar,1
Evtepia_gabavorous,2
GGB9512_SGB14909,2
Butyricimonas_faecihominis,2
Blautia_SGB4815,1
GGB9616_SGB15051,1
Lachnospiraceae_bacterium_BX3,1
Ruminococcus_sp_AF41_9,1
GGB3819_SGB5184,1
Clostridiales_Family_XIII_bacterium_BX16,2
Desulfovibrio_SGB5076,2
Veillonella_atypica,1
Faecalibacterium_SGB15346,2
Paraprevotella_clara,1
GGB79734_SGB15291,2
Eubacterium_SGB6276,2
GGB4578_SGB6328,1
Holdemanella_porci,1
Faecalimonas_umbilicata,2
Bacteroides_cellulosilyticus,2
Megasphaera_sp_NM10,1
GGB80011_SGB15265,2
Clostridiales_bacterium_KLE1615,1
Waltera_intestinalis,2
Lacrimispora_amygdalina,1
Blautia_obeum,2
Eggerthella_lenta,2
Butyricicoccus_SGB14990,1
GGB14025_SGB14906,1
Butyricicoccus_sp_AM29_23AC,2
Alistipes_sp_AF17_16,1
Vescimonas_coprocola,1
Roseburia_sp_AM16_25,1
GGB9619_SGB15067,2
Streptococcus_australis,2
GGB2653_SGB3574,2
Holdemania_filiformis,2
GGB9359_SGB14334,1
Intestinimonas_butyriciproducens,1
Clostridium_SGB6179,1
Clostridium_butyricum,1
GGB3653_SGB4964,2
Faecalibacterium_prausnitzii,1
GGB9758_SGB15368,1
Clostridiaceae_bacterium_Marseille_Q4149,1
Firmicutes_bacterium_AF16_15,1
Parabacteroides_goldsteinii,1
GGB3363_SGB4447,1
Klebsiella_pneumoniae,1
Veillonella_parvula,1
Holdemanella_biformis,1
Ruminococcus_lactaris,1
Lawsonibacter_asaccharolyticus,2
Veillonella_tobetsuensis,1
Enterococcus_faecalis,2
Roseburia_intestinalis,1
Bacteroides_xylanisolvens,2
GGB9453_SGB14845,1
GGB3612_SGB4882,1
Faecalibacillus_intestinalis,1
Vescimonas_SGB15087,1
Staphylococcus_SGB6340,1
Dysosmobacter_sp_BX15,1
Eubacterium_sp_AF34_35BH,1
Hydrogenoanaerobacterium_saccharovorans,1
GGB51647_SGB4348,1
Ruminococcus_sp_BSD2780120874_150323_B10,1
Lachnospira_pectinoschiza,1
Coprococcus_eutactus,1
Collinsella_aerofaciens,1
GGB3304_SGB4367,1
Dorea_longicatena,1
Gemmiger_formicilis,1
Butyricimonas_SGB15260,1
Alistipes_shahii,1
GGB47687_SGB2286,1
GGB9635_SGB15106,1
GGB3278_SGB4328,1
GGB3256_SGB4303,1
Adlercreutzia_equolifaciens,1
Faecalibacillus_faecis,1
Gemmiger_SGB15299,1
Ruminococcus_sp_AF46_10NS,1
Blautia_sp_Marseille_P3087,1
Alistipes_ihumii,1
Dorea_sp_AF24_7LB,1
Blautia_sp_MSK_20_85,1
Lachnospiraceae_bacterium,1
GGB80140_SGB15224,1
Dorea_sp_AF36_15AT,1
GGB9642_SGB15119,1
Clostridium_sp_AF34_13,1
GGB9608_SGB15041,1
Clostridia_bacterium_UC5_1_1D1,1
Clostridium_sp_AF36_4,1
Faecalibacterium_SGB15315,1
Slackia_isoflavoniconvertens,1
GGB33469_SGB15236,1
Collinsella_SGB4121,1
Lachnospiraceae_bacterium_AM48_27BH,1
GGB9770_SGB15390,1
Enterocloster_citroniae,1
Clostridiaceae_bacterium_Marseille_Q4145,1
