Target_FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_CHN_WF-CRC_CHN_SH-CRC-3_US-CRC-3_CHN_SH-CRC-2_rf_optimal,Target_FR-CRC_AT-CRC_ITA-CRC_JPN-CRC_US-CRC-2_CHN_WF-CRC_CHN_SH-CRC-2_US-CRC-3_CHN_SH-CRC-4_synergistic
Phocaeicola_coprocola,Phocaeicola_vulgatus
Phocaeicola_vulgatus,Parabacteroides_merdae
Streptococcus_parasanguinis,Bifidobacterium_adolescentis
Megamonas_funiformis,Streptococcus_parasanguinis
GGB3746_SGB5089,Bifidobacterium_longum
Roseburia_inulinivorans,Streptococcus_salivarius
Streptococcus_salivarius,GGB51269_SGB5062
Bifidobacterium_adolescentis,GGB4578_SGB6328
Bifidobacterium_longum,Eubacterium_SGB6276
Veillonella_atypica,Desulfovibrio_SGB5077
Parasutterella_SGB9260,Paraprevotella_clara
Paraprevotella_clara,Hungatella_hathewayi
Hungatella_hathewayi,Clostridium_butyricum
GGB9758_SGB15368,Ruminococcus_torques
Alistipes_indistinctus,GGB3363_SGB4448
GGB3363_SGB4448,Bacteroides_salyersiae
GGB4578_SGB6328,Lachnospiraceae_bacterium_BX3
Desulfovibrio_SGB5077,Rheinheimera_SGB14999
,GGB80011_SGB15267
,Bifidobacterium_pseudocatenulatum
,Anaerobutyricum_hallii
,Anaeromassilibacillus_sp_An250
,Eubacterium_ramulus
,Intestinibacter_bartlettii
,
,
,
,
,
,
,
,
,
