,target_study,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,CHN_SH-CRC-4_lefse,CHN_SH-CRC-4_MaAsLin,CHN_SH-CRC-4_Ancom,Feature
0,CHN_SH-CRC-2,Phocaeicola_vulgatus,Bifidobacterium_longum,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Bifidobacterium_longum,Phocaeicola_vulgatus,Phocaeicola_vulgatus
1,,Bifidobacterium_longum,Phocaeicola_vulgatus,Parabacteroides_merdae,Bifidobacterium_longum,Phocaeicola_vulgatus,Parabacteroides_merdae,Bifidobacterium_longum
2,,Parabacteroides_merdae,Paraprevotella_clara,Bifidobacterium_longum,Parabacteroides_merdae,Paraprevotella_clara,Bifidobacterium_longum,Parabacteroides_merdae
3,,Bifidobacterium_adolescentis,Eubacterium_SGB6276,Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,Eubacterium_SGB6276,Bifidobacterium_adolescentis,Bifidobacterium_adolescentis
4,,Ruminococcus_torques,Desulfovibrio_SGB5077,,Ruminococcus_torques,Desulfovibrio_SGB5077,,Ruminococcus_torques
5,,GGB51269_SGB5062,Parabacteroides_merdae,,GGB51269_SGB5062,Parabacteroides_merdae,,GGB51269_SGB5062
6,,Hungatella_hathewayi,GGB51269_SGB5062,,Hungatella_hathewayi,GGB51269_SGB5062,,Hungatella_hathewayi
7,,GGB4578_SGB6328,Bacteroides_salyersiae,,GGB4578_SGB6328,Bacteroides_salyersiae,,GGB4578_SGB6328
8,,Desulfovibrio_SGB5077,Anaerobutyricum_hallii,,Desulfovibrio_SGB5077,Anaerobutyricum_hallii,,Desulfovibrio_SGB5077
9,,Eubacterium_SGB6276,Lachnospiraceae_bacterium_BX3,,Eubacterium_SGB6276,Lachnospiraceae_bacterium_BX3,,Eubacterium_SGB6276
10,,Clostridium_butyricum,Streptococcus_salivarius,,Clostridium_butyricum,Streptococcus_salivarius,,Clostridium_butyricum
11,,GGB3363_SGB4448,Eubacterium_ramulus,,GGB3363_SGB4448,Eubacterium_ramulus,,GGB3363_SGB4448
12,,Intestinibacter_bartlettii,GGB80011_SGB15267,,Intestinibacter_bartlettii,GGB80011_SGB15267,,Intestinibacter_bartlettii
13,,Streptococcus_salivarius,GGB4578_SGB6328,,Streptococcus_salivarius,GGB4578_SGB6328,,Streptococcus_salivarius
14,,Anaeromassilibacillus_sp_An250,Bifidobacterium_adolescentis,,Anaeromassilibacillus_sp_An250,Bifidobacterium_adolescentis,,Anaeromassilibacillus_sp_An250
15,,Streptococcus_parasanguinis,Streptococcus_parasanguinis,,Streptococcus_parasanguinis,Streptococcus_parasanguinis,,Streptococcus_parasanguinis
16,,,Rheinheimera_SGB14999,,,Rheinheimera_SGB14999,,Paraprevotella_clara
17,,,Bifidobacterium_pseudocatenulatum,,,Bifidobacterium_pseudocatenulatum,,Bacteroides_salyersiae
18,,,Clostridium_butyricum,,,Clostridium_butyricum,,Anaerobutyricum_hallii
