,target_study,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,CHN_SH-CRC-4_lefse,CHN_SH-CRC-4_MaAsLin,CHN_SH-CRC-4_Ancom,Feature
0,CHN_SH-CRC-2,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus
1,,Bacteroides_stercoris,Megamonas_funiformis,Bacteroides_ovatus,Bacteroides_stercoris,Megamonas_funiformis,Bacteroides_ovatus,Bacteroides_stercoris
2,,Bacteroides_ovatus,GGB9758_SGB15368,,Bacteroides_ovatus,GGB9758_SGB15368,,Bacteroides_ovatus
3,,Bifidobacterium_longum,Odoribacter_splanchnicus,,Bifidobacterium_longum,Odoribacter_splanchnicus,,Bifidobacterium_longum
4,,Phocaeicola_coprocola,Desulfovibrio_SGB5077,,Phocaeicola_coprocola,Desulfovibrio_SGB5077,,Phocaeicola_coprocola
5,,GGB9758_SGB15368,Bacteroides_ovatus,,GGB9758_SGB15368,Bacteroides_ovatus,,GGB9758_SGB15368
6,,Bifidobacterium_adolescentis,Lachnospiraceae_bacterium,,Bifidobacterium_adolescentis,Lachnospiraceae_bacterium,,Bifidobacterium_adolescentis
7,,Odoribacter_splanchnicus,GGB51269_SGB5062,,Odoribacter_splanchnicus,GGB51269_SGB5062,,Odoribacter_splanchnicus
8,,Dysosmobacter_welbionis,Bacteroides_stercoris,,Dysosmobacter_welbionis,Bacteroides_stercoris,,Dysosmobacter_welbionis
9,,Megamonas_funiformis,Clostridium_fessum,,Megamonas_funiformis,Clostridium_fessum,,Megamonas_funiformis
10,,Clostridium_sp_AF34_10BH,Clostridium_sp_AF34_10BH,,Clostridium_sp_AF34_10BH,Clostridium_sp_AF34_10BH,,Clostridium_sp_AF34_10BH
11,,Veillonella_atypica,Streptococcus_salivarius,,Veillonella_atypica,Streptococcus_salivarius,,Veillonella_atypica
12,,GGB51269_SGB5062,Oscillospiraceae_bacterium_Marseille_Q3528,,GGB51269_SGB5062,Oscillospiraceae_bacterium_Marseille_Q3528,,GGB51269_SGB5062
13,,GGB9595_SGB15019,GGB4578_SGB6328,,GGB9595_SGB15019,GGB4578_SGB6328,,GGB9595_SGB15019
14,,Streptococcus_salivarius,Bifidobacterium_longum,,Streptococcus_salivarius,Bifidobacterium_longum,,Streptococcus_salivarius
15,,GGB4578_SGB6328,Bifidobacterium_adolescentis,,GGB4578_SGB6328,Bifidobacterium_adolescentis,,GGB4578_SGB6328
16,,Dysosmobacter_sp_NSJ_60,Streptococcus_parasanguinis,,Dysosmobacter_sp_NSJ_60,Streptococcus_parasanguinis,,Dysosmobacter_sp_NSJ_60
17,,Streptococcus_parasanguinis,GGB9614_SGB15049,,Streptococcus_parasanguinis,GGB9614_SGB15049,,Streptococcus_parasanguinis
18,,Lachnospiraceae_bacterium,Dysosmobacter_welbionis,,Lachnospiraceae_bacterium,Dysosmobacter_welbionis,,Lachnospiraceae_bacterium
19,,Oscillospiraceae_bacterium_Marseille_Q3528,Veillonella_atypica,,Oscillospiraceae_bacterium_Marseille_Q3528,Veillonella_atypica,,Oscillospiraceae_bacterium_Marseille_Q3528
20,,Blautia_glucerasea,Dysosmobacter_sp_NSJ_60,,Blautia_glucerasea,Dysosmobacter_sp_NSJ_60,,Blautia_glucerasea
21,,,Phocaeicola_coprocola,,,Phocaeicola_coprocola,,Desulfovibrio_SGB5077
22,,,Blautia_glucerasea,,,Blautia_glucerasea,,Clostridium_fessum
