,Unnamed: 0,target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_WF-CRC_lefse,CHN_WF-CRC_MaAsLin,CHN_WF-CRC_Ancom,CHN_SH-CRC-3_lefse,CHN_SH-CRC-3_MaAsLin,CHN_SH-CRC-3_Ancom,Feature
0,0,CHN_SH-CRC-2,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Prevotella_copri_clade_A,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Klebsiella_pneumoniae,Blautia_producta,Phocaeicola_vulgatus,Prevotella_copri_clade_A,Akkermansia_muciniphila,Akkermansia_muciniphila,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,,,,Alistipes_finegoldii,Faecalibacillus_intestinalis,,Faecalibacterium_prausnitzii,Ruminococcus_bicirculans,Faecalibacterium_prausnitzii,Phocaeicola_vulgatus,Holdemania_filiformis,Phocaeicola_vulgatus,F
1,1,,Prevotella_copri_clade_A,Prevotella_copri_clade_A,Bacteroides_uniformis,Phocaeicola_vulgatus,GGB51269_SGB5062,Parabacteroides_distasonis,Phocaeicola_vulgatus,Clostridium_sp_AF12_28,,Blautia_wexlerae,Clostridium_sp_AM22_11AC,,Prevotella_copri_clade_A,Prevotella_copri_clade_A,Phascolarctobacterium_faecium,,,,Blautia_wexlerae,Lachnospiraceae_bacterium,,GGB9758_SGB15368,Clostridium_sp_AM22_11AC,Ruminococcus_bicirculans,Bacteroides_stercoris,Phocaeicola_vulgatus,Parabacteroides_distasonis,R
2,2,,Bacteroides_uniformis,Phascolarctobacterium_faecium,Bacteroides_xylanisolvens,GGB51647_SGB4348,Eggerthella_lenta,Bacteroides_ovatus,Enterocloster_aldenensis,Butyricimonas_faecihominis,,Akkermansia_muciniphila,Clostridiales_Family_XIII_bacterium_BX16,,Prevotella_copri_clade_C,Holdemanella_porci,Prevotella_copri_clade_A,,,,Fusicatenibacter_saccharivorans,Oscillospiraceae_bacterium,,Ruminococcus_bicirculans,GGB9707_SGB15229,,Clostridium_sp_AF34_10BH,GGB3277_SGB4327,,-
3,3,,Bacteroides_ovatus,Holdemanella_porci,Odoribacter_splanchnicus,Phocaeicola_plebeius,Erysipelatoclostridium_ramosum,GGB51647_SGB4348,GGB9635_SGB15106,Klebsiella_pneumoniae,,GGB1495_SGB2071,Dorea_sp_AF36_15AT,,Holdemanella_porci,Phascolarctobacterium_faecium,Holdemanella_porci,,,,Phocaeicola_massiliensis,GGB9453_SGB14844,,Staphylococcus_SGB6340,Alistipes_putredinis,,GGB3256_SGB4303,GGB3256_SGB4303,,C
4,4,,Candidatus_Cibionibacter_quicibialis,Megasphaera_micronuciformis,Parabacteroides_distasonis,Bacteroides_ovatus,Bacteroides_ovatus,,Blautia_sp_MSK_20_85,Lachnospiraceae_bacterium,,Anaerostipes_hadrus,Dorea_formicigenerans,,Phocaeicola_dorei,Phascolarctobacterium_succinatutens,Phascolarctobacterium_succinatutens,,,,Ruminococcus_bromii,Clostridium_sp_AF27_2AA,,Clostridium_sp_AM22_11AC,GGB9758_SGB15368,,Parabacteroides_distasonis,Parabacteroides_distasonis,,_
5,5,,GGB51647_SGB4348,Phascolarctobacterium_succinatutens,Bacteroides_ovatus,Clostridium_sp_1001270H_150608_G6,Parabacteroides_merdae,,Clostridium_sp_AF12_28,Haemophilus_parainfluenzae,,Bacteroides_ovatus,Clostridium_SGB4648,,Phascolarctobacterium_faecium,Klebsiella_pneumoniae,,,,,Faecalicatena_fissicatena,Alistipes_ihumii,,GGB3746_SGB5089,Clostridium_fessum,,Parasutterella_excrementihominis,Bacteroides_stercoris,,l
6,6,,Bacteroides_thetaiotaomicron,Blautia_producta,Phascolarctobacterium_faecium,Parabacteroides_distasonis,Collinsella_SGB14861,,Coprococcus_comes,Clostridium_sp_NSJ_42,,Anaerobutyricum_hallii,Clostridium_fessum,,Phascolarctobacterium_succinatutens,Flavonifractor_plautii,,,,,Lachnospiraceae_bacterium,Faecalicatena_fissicatena,,Alistipes_shahii,Alistipes_shahii,,Eubacterium_ventriosum,Parasutterella_excrementihominis,,e
7,7,,Parabacteroides_distasonis,Holdemanella_biformis,Clostridiaceae_bacterium,GGB51269_SGB5062,Butyricicoccus_sp_AM29_23AC,,Agathobaculum_butyriciproducens,Clostridium_symbiosum,,Blautia_massiliensis,Evtepia_gabavorous,,Ruminococcus_gnavus,Prevotella_copri_clade_C,,,,,Oscillospiraceae_bacterium,Vescimonas_SGB15087,,Clostridium_fessum,Blautia_massiliensis,,GGB3277_SGB4327,GGB33928_SGB15225,,f
8,8,,Bifidobacterium_adolescentis,Eggerthella_lenta,Candidatus_Cibionibacter_quicibialis,Erysipelatoclostridium_ramosum,Blautia_luti,,Clostridium_sp_NSJ_42,Clostridium_sp_AT4,,Clostridiaceae_bacterium,Romboutsia_timonensis,,Eubacterium_rectale,Ruminococcus_callidus,,,,,GGB9453_SGB14845,Staphylococcus_SGB6340,,Coprococcus_eutactus,GGB14025_SGB14906,,Enterobacter_hormaechei,Ruminococcus_sp_AF41_9,,s
9,9,,Phascolarctobacterium_faecium,Bacteroides_ovatus,Anaerobutyricum_hallii,Parabacteroides_merdae,GGB9627_SGB15081,,Parabacteroides_distasonis,GGB3363_SGB4448,,GGB3363_SGB4447,GGB34797_SGB14322,,Erysipelatoclostridium_ramosum,Holdemanella_biformis,,,,,Faecalibacillus_intestinalis,Collinsella_SGB14861,,Blautia_massiliensis,Butyricimonas_paravirosa,,Lawsonibacter_asaccharolyticus,Lawsonibacter_asaccharolyticus,,M
