Feature,Frequency
Prevotella_copri_clade_A,22
Phocaeicola_vulgatus,23
GGB51647_SGB4348,2
Phocaeicola_plebeius,10
Bacteroides_ovatus,21
Clostridium_sp_1001270H_150608_G6,2
Parabacteroides_distasonis,22
GGB51269_SGB5062,10
Erysipelatoclostridium_ramosum,21
Parabacteroides_merdae,1
Ruminococcus_lactaris,1
Flavonifractor_plautii,22
Eggerthella_lenta,21
Ruminococcus_callidus,12
Oscillibacter_sp_ER4,1
Collinsella_SGB14861,1
GGB79973_SGB14341,1
Blautia_caecimuris,2
Enterocloster_aldenensis,12
Sellimonas_intestinalis,1
Blautia_glucerasea,3
Ruminococcus_sp_AF46_10NS,2
Butyricicoccus_sp_AM29_23AC,2
Blautia_luti,2
Clostridium_scindens,12
GGB9707_SGB15229,2
Blautia_hansenii,12
GGB9627_SGB15081,1
Clostridium_butyricum,2
Blautia_producta,13
Klebsiella_pneumoniae,3
Phascolarctobacterium_faecium,21
Holdemanella_porci,11
Megasphaera_micronuciformis,12
Phascolarctobacterium_succinatutens,11
Holdemanella_biformis,11
Streptococcus_thermophilus,10
Clostridiaceae_bacterium,20
Dysosmobacter_welbionis,19
Bacteroides_xylanisolvens,20
GGB9642_SGB15119,10
Enterococcus_faecalis,10
Ruminococcus_bicirculans,11
Blautia_wexlerae,11
Parasutterella_excrementihominis,12
Bacteroides_fragilis,19
Clostridia_bacterium_UC5_1_1D1,10
Butyricimonas_SGB15260,10
Veillonella_tobetsuensis,9
Rothia_mucilaginosa,11
Anaerostipes_hadrus,10
GGB3109_SGB4119,11
Slackia_isoflavoniconvertens,11
Veillonella_atypica,10
Enterocloster_bolteae,20
Alistipes_finegoldii,11
GGB3363_SGB4448,11
Bacteroides_uniformis,19
GGB3304_SGB4367,10
Paraprevotella_clara,10
Butyricimonas_faecihominis,12
Enterocloster_citroniae,20
Parasutterella_SGB9260,9
Faecalimonas_umbilicata,11
Bifidobacterium_adolescentis,10
GGB3277_SGB4327,11
Faecalibacillus_intestinalis,10
Bacteroides_stercoris,10
Senegalimassilia_anaerobia,11
Longicatena_caecimuris,9
GGB9712_SGB15244,10
Clostridium_sp_AT4,21
Hungatella_hathewayi,11
GGB33469_SGB15236,19
Streptococcus_gordonii,9
Enterocloster_clostridioformis,10
Prevotella_copri_clade_C,10
Candidatus_Cibionibacter_quicibialis,19
Coprobacter_fastidiosus,10
Bacteroides_thetaiotaomicron,19
Veillonella_dispar,11
Enterobacter_hormaechei,11
Lachnospiraceae_bacterium_BX3,10
Roseburia_intestinalis,9
Odoribacter_splanchnicus,10
Anaerobutyricum_hallii,12
Clostridium_SGB4750,11
Clostridiales_bacterium,10
Ruminococcus_gnavus,11
GGB9635_SGB15106,2
Blautia_sp_MSK_20_85,1
Clostridium_sp_AF12_28,1
Coprococcus_comes,2
Agathobaculum_butyriciproducens,1
Clostridium_sp_NSJ_42,2
Lachnospiraceae_bacterium,2
Clostridium_sp_AM49_4BH,2
Citrobacter_freundii,1
Evtepia_gabavorous,3
Lacrimispora_amygdalina,1
Haemophilus_parainfluenzae,1
Akkermansia_muciniphila,1
GGB1495_SGB2071,1
Blautia_massiliensis,3
GGB3363_SGB4447,2
Blautia_faecis,1
Alistipes_ihumii,3
Clostridium_sp_AM22_11AC,2
Alistipes_dispar,1
Dorea_formicigenerans,2
Clostridium_fessum,2
GGB34797_SGB14322,3
Blautia_SGB4815,1
Ruminococcus_SGB4421,1
Clostridium_SGB4648,1
Dorea_sp_AF36_15AT,1
GGB9524_SGB14924,1
Clostridium_sp_AM33_3,1
Intestinibacter_bartlettii,1
Clostridiales_Family_XIII_bacterium_BX16,2
Dorea_sp_AF24_7LB,2
Rheinheimera_SGB14999,1
Ruminococcus_sp_AF41_9,3
Romboutsia_timonensis,1
Clostridiaceae_bacterium_Marseille_Q4143,1
Clostridia_bacterium_UC5_1_1E11,1
Phocaeicola_dorei,1
Eubacterium_rectale,1
Collinsella_aerofaciens,2
Megasphaera_sp_NM10,1
Sutterella_wadsworthensis,1
Streptococcus_parasanguinis,1
Alistipes_shahii,2
Eubacterium_SGB6276,2
GGB4578_SGB6328,1
Vescimonas_coprocola,1
Firmicutes_bacterium_AF16_15,2
Clostridiales_bacterium_Choco116,1
Alistipes_sp_AF17_16,1
Butyricicoccus_SGB14990,1
Desulfovibrio_piger,2
GGB9512_SGB14909,2
GGB3653_SGB4964,2
GGB3614_SGB4886,2
Faecalibacterium_SGB15315,2
GGB9595_SGB15019,1
Faecalibacterium_prausnitzii,1
GGB9758_SGB15368,1
Staphylococcus_SGB6340,2
GGB3746_SGB5089,1
Coprococcus_eutactus,2
GGB3175_SGB4191,1
Streptococcus_vestibularis,1
Clostridium_sp_AF34_13,1
Gemella_sanguinis,2
Butyricimonas_paravirosa,1
Clostridiaceae_bacterium_AF18_31LB,1
GGB9614_SGB15049,1
GGB9759_SGB15370,2
Gemmiger_SGB15299,2
GGB14025_SGB14906,1
Clostridium_sp_AF34_10BH,1
GGB3256_SGB4303,2
Eubacterium_ventriosum,2
Lawsonibacter_asaccharolyticus,2
Holdemania_filiformis,1
Clostridiaceae_bacterium_Marseille_Q4145,1
Fusicatenibacter_saccharivorans,1
Phocaeicola_massiliensis,1
Ruminococcus_bromii,1
Faecalicatena_fissicatena,1
Oscillospiraceae_bacterium,2
GGB9453_SGB14845,1
Vescimonas_SGB15087,1
Clostridium_sp_AF27_2AA,1
Clostridium_symbiosum,2
GGB9453_SGB14844,1
GGB2653_SGB3574,1
Clostridium_SGB4909,2
GGB33512_SGB15201,1
GGB9619_SGB15067,1
Eubacterium_sp_AF34_35BH,1
Bifidobacterium_pseudocatenulatum,1
GGB4684_SGB6478,1
Clostridiaceae_unclassified_SGB15090,1
Lacrimispora_celerecrescens,1
GGB47687_SGB2286,1
GGB3278_SGB4328,1
GGB9747_SGB15356,1
GGB9636_SGB15107,1
GGB9699_SGB15216,1
GGB79734_SGB15291,1
GGB80011_SGB15265,1
GGB9708_SGB15233,1
GGB9760_SGB15374,1
Coprococcus_catus,1
Blautia_sp_Marseille_P3087,1
Ellagibacter_isourolithinifaciens,1
Anaerostipes_caccae,1
Oscillospiraceae_unclassified_SGB15256,1
GGB9767_SGB15385,1
