,Unnamed: 0,target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_WF-CRC_lefse,CHN_WF-CRC_MaAsLin,CHN_WF-CRC_Ancom,CHN_SH-CRC-3_lefse,CHN_SH-CRC-3_MaAsLin,CHN_SH-CRC-3_Ancom,Feature
0,0,CHN_SH-CRC-2,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Phocaeicola_vulgatus,Ruminococcus_sp_BSD2780120874_150323_B10,Bacteroides_faecis,Phocaeicola_vulgatus,Megamonas_funiformis,Blautia_faecis,,Sutterella_wadsworthensis,Lachnospira_eligens,Clostridium_fessum,Phocaeicola_vulgatus,Phascolarctobacterium_faecium,Phocaeicola_vulgatus,Faecalibacterium_SGB15315,Blautia_massiliensis,,Fusicatenibacter_saccharivorans,Lachnospiraceae_bacterium,Fusicatenibacter_saccharivorans,Faecalibacterium_prausnitzii,Ruminococcus_callidus,,Eubacterium_rectale,Eubacterium_rectale,Eubacterium_rectale,F
1,1,,Ruminococcus_sp_BSD2780120874_150323_B10,Phascolarctobacterium_faecium,Eubacterium_ventriosum,GGB51647_SGB4348,Bacteroides_ovatus,Bacteroides_faecis,Enterocloster_aldenensis,Megamonas_funiformis,,Lachnospira_pectinoschiza,Clostridium_fessum,Lachnospira_eligens,Phocaeicola_dorei,Phocaeicola_vulgatus,Phascolarctobacterium_faecium,Blautia_sp_MSK_20_85,Blautia_sp_MSK_20_85,,Roseburia_intestinalis,Faecalibacillus_intestinalis,,Anaerobutyricum_soehngenii,GGB9627_SGB15081,,Phocaeicola_dorei,Escherichia_coli,Clostridium_sp_AF34_10BH,R
2,2,,Parabacteroides_distasonis,Clostridiaceae_bacterium,Parabacteroides_distasonis,Phocaeicola_vulgatus,Collinsella_SGB14861,Bacteroides_ovatus,Bacteroides_faecis,Enterocloster_aldenensis,,GGB1495_SGB2071,Blautia_SGB4815,Ruthenibacterium_lactatiformans,Phascolarctobacterium_faecium,Faecalibacterium_prausnitzii,,Dysosmobacter_welbionis,Faecalibacterium_SGB15315,,Gemmiger_SGB15295,GGB9453_SGB14844,,GGB3363_SGB4447,Gemmiger_SGB15299,,Escherichia_coli,Clostridium_sp_AF34_10BH,Lacrimispora_amygdalina,-
3,3,,Phascolarctobacterium_faecium,Roseburia_intestinalis,Phascolarctobacterium_faecium,Bacteroides_ovatus,GGB33469_SGB15236,Roseburia_intestinalis,,Faecalibacterium_prausnitzii,,Roseburia_faecis,Lachnospira_pectinoschiza,,Sutterella_wadsworthensis,GGB3653_SGB4964,,Eisenbergiella_massiliensis,,,Clostridiales_bacterium_KLE1615,Clostridium_sp_AF27_2AA,,Streptococcus_vestibularis,Anaerobutyricum_soehngenii,,Bacteroides_stercoris,Roseburia_intestinalis,,C
4,4,,Candidatus_Cibionibacter_quicibialis,Enterococcus_faecalis,Clostridiaceae_bacterium,Clostridium_sp_1001270H_150608_G6,Clostridium_sp_1001270H_150608_G6,,,Blautia_wexlerae,,Akkermansia_muciniphila,Bacteroides_xylanisolvens,,Clostridiales_bacterium_Choco116,Sutterella_wadsworthensis,,,,,Lachnospiraceae_bacterium,Staphylococcus_SGB6340,,Hungatella_hathewayi,Allisonella_histaminiformans,,Clostridium_sp_AF34_10BH,Enterococcus_faecalis,,_
5,5,,Roseburia_intestinalis,GGB9642_SGB15119,Candidatus_Cibionibacter_quicibialis,Bacteroides_faecis,Parasutterella_excrementihominis,,,Bifidobacterium_bifidum,,Ruminococcus_bicirculans,Clostridium_SGB4648,,Bacteroides_nordii,Ruminococcus_callidus,,,,,Staphylococcus_SGB6340,Eubacterium_sp_AF34_35BH,,GGB9619_SGB15067,GGB9619_SGB15067,,Roseburia_intestinalis,Holdemania_filiformis,,l
6,6,,Megamonas_funiformis,Faecalibacterium_prausnitzii,Clostridium_fessum,GGB9359_SGB14334,Coprococcus_eutactus,,,Bacteroides_xylanisolvens,,Lachnospira_eligens,Eubacterium_ventriosum,,Alistipes_sp_AF17_16,GGB9759_SGB15370,,,,,Barnesiella_intestinihominis,Blautia_luti,,Butyricimonas_paravirosa,Eisenbergiella_massiliensis,,Lacrimispora_amygdalina,Dorea_longicatena,,e
7,7,,Clostridium_sp_AM22_11AC,Eubacterium_ventriosum,Lacrimispora_amygdalina,Roseburia_intestinalis,GGB9342_SGB14306,,,Fusicatenibacter_saccharivorans,,GGB3277_SGB4327,Ruminococcus_bicirculans,,Alistipes_ihumii,Ellagibacter_isourolithinifaciens,,,,,Flavonifractor_plautii,Clostridiales_bacterium_KLE1615,,Gemmiger_SGB15299,Clostridia_bacterium_UC5_1_1D1,,Dorea_longicatena,Faecalibacterium_prausnitzii,,f
8,8,,Klebsiella_pneumoniae,Ruminococcus_bicirculans,Clostridium_SGB4750,GGB9708_SGB15234,GGB9359_SGB14334,,,Bacteroides_clarus,,Ruminococcus_callidus,Faecalicatena_fissicatena,,GGB9759_SGB15370,Ruminococcus_sp_AF41_9,,,,,Faecalibacillus_intestinalis,Fusicatenibacter_saccharivorans,,Clostridia_bacterium_UC5_1_1D1,GGB3363_SGB4447,,Agathobaculum_butyriciproducens,Clostridiaceae_bacterium,,s
9,9,,GGB3256_SGB4303,Faecalicatena_fissicatena,Ruminococcus_sp_BSD2780120874_150323_B10,Parasutterella_excrementihominis,Coprococcus_SGB4669,,,,,Ruthenibacterium_lactatiformans,Clostridium_sp_AM22_11AC,,Megasphaera_micronuciformis,Enterococcus_faecium,,,,,Vescimonas_SGB15087,Gemmiger_SGB15295,,Eisenbergiella_massiliensis,,,Clostridiales_bacterium_KLE1615,Clostridiales_bacterium_KLE1615,,M
10,10,,Eubacterium_ventriosum,Streptococcus_thermophilus,,Flavonifractor_plautii,Blautia_glucerasea,,,,,Roseburia_intestinalis,Dorea_sp_AF24_7LB,,Enterobacter_hormaechei,Enterococcus_faecalis,,,,,Clostridium_sp_AF20_17LB,Vescimonas_SGB15087,,Merdimonas_faecis,,,Butyricimonas_paravirosa,Agathobaculum_butyriciproducens,,a
11,11,,Coprococcus_comes,Parasutterella_excrementihominis,,GGB9342_SGB14306,GGB80140_SGB15224,,,,,Clostridium_fessum,Clostridiales_Family_XIII_bacterium_BX16,,,Bacteroides_nordii,,,,,Alistipes_ihumii,Clostridiaceae_bacterium,,,,,Enterococcus_faecalis,Ruminococcus_sp_AF41_9,,A
12,12,,Bacteroides_xylanisolvens,Clostridium_sp_AM33_3,,Desulfovibrio_piger,Blautia_luti,,,,,Blautia_faecis,GGB1495_SGB2071,,,Alistipes_sp_AF17_16,,,,,Dorea_formicigenerans,Faecalicatena_fissicatena,,,,,GGB3109_SGB4119,Parabacteroides_distasonis,,L
13,13,,Butyricimonas_SGB15260,Clostridium_SGB4750,,GGB9345_SGB14311,GGB9602_SGB15031,,,,,Blautia_glucerasea,Ruthenibacterium_lactatiformans,,,Alistipes_ihumii,,,,,Clostridium_sp_AF27_2AA,Clostridium_sp_AF20_17LB,,,,,Holdemania_filiformis,Phocaeicola_dorei,,i
14,14,,Clostridium_SGB4750,GGB9614_SGB15049,,Bacteroides_cellulosilyticus,GGB9707_SGB15229,,,,,GGB9602_SGB15031,Evtepia_gabavorous,,,Butyricicoccus_SGB14990,,,,,Eubacterium_sp_AF34_35BH,Coprococcus_SGB4669,,,,,Ruminococcus_sp_AF41_9,Streptococcus_thermophilus,,n
15,15,,Clostridium_fessum,GGB3109_SGB4119,,GGB9636_SGB15107,GGB33928_SGB15225,,,,,Bacteroides_caccae,Roseburia_intestinalis,,,Clostridiales_bacterium_Choco116,,,,,GGB9453_SGB14844,Oscillospiraceae_bacterium,,,,,Eisenbergiella_tayi,Bacteroides_stercoris,,c
16,16,,Oscillibacter_sp_ER4,Ruminococcus_sp_BSD2780120874_150323_B10,,GGB9635_SGB15106,Eggerthella_lenta,,,,,Eubacterium_ventriosum,Ruminococcus_callidus,,,Veillonella_tobetsuensis,,,,,Blautia_luti,Flavonifractor_plautii,,,,,,Clostridium_sp_AF27_2AA,,o
17,17,,Anaerobutyricum_hallii,GGB42994_SGB4746,,GGB9708_SGB15233,GGB3109_SGB4119,,,,,Faecalicatena_fissicatena,Coprococcus_eutactus,,,Megasphaera_micronuciformis,,,,,Blautia_glucerasea,,,,,,,Butyricimonas_paravirosa,,m
18,18,,Lacrimispora_amygdalina,Clostridiales_bacterium_Choco116,,GGB9602_SGB15031,GGB9708_SGB15234,,,,,GGB9512_SGB14909,Akkermansia_muciniphila,,,,,,,,,,,,,,,,,T
19,19,,Coprobacter_fastidiosus,Clostridium_sp_AM42_4,,GGB9747_SGB15356,Erysipelatoclostridium_ramosum,,,,,Blautia_SGB4815,GGB3277_SGB4327,,,,,,,,,,,,,,,,,I
20,20,,Clostridiaceae_bacterium,Klebsiella_pneumoniae,,Collinsella_SGB14861,Sanguibacter_SGB15121,,,,,Clostridiaceae_bacterium_AF18_31LB,Intestinibacter_bartlettii,,,,,,,,,,,,,,,,,J
21,21,,GGB9699_SGB15216,Megasphaera_micronuciformis,,Coprococcus_SGB4669,Phocaeicola_vulgatus,,,,,Bacteroides_xylanisolvens,Bacteroides_caccae,,,,,,,,,,,,,,,,,P
22,22,,Roseburia_inulinivorans,Clostridium_sp_AF27_2AA,,Alistipes_dispar,Clostridium_SGB4648,,,,,Streptococcus_thermophilus,Blautia_faecis,,,,,,,,,,,,,,,,,N
23,23,,Gemmiger_SGB15299,Clostridiales_bacterium_KLE1615,,Lachnospiraceae_bacterium,GGB9345_SGB14311,,,,,Clostridium_sp_AM22_11AC,GGB9512_SGB14909,,,,,,,,,,,,,,,,,U
24,24,,Flavonifractor_plautii,Clostridium_sp_AF34_10BH,,Blautia_glucerasea,GGB9636_SGB15107,,,,,Evtepia_gabavorous,Eubacterium_sp_AF16_48,,,,,,,,,,,,,,,,,S
25,25,,Enterocloster_bolteae,GGB9712_SGB15244,,Ruminococcus_callidus,GGB9635_SGB15106,,,,,Clostridium_SGB4648,Clostridiaceae_bacterium_AF18_31LB,,,,,,,,,,,,,,,,,2
26,26,,GGB9636_SGB15107,Clostridium_sp_AM22_11AC,,GGB9712_SGB15244,Anaerostipes_hadrus,,,,,Intestinibacter_bartlettii,Blautia_massiliensis,,,,,,,,,,,,,,,,,H
27,27,,Clostridium_sp_AM49_4BH,Holdemanella_porci,,Lachnospiraceae_bacterium_OM04_12BH,Lachnospiraceae_bacterium_AM48_27BH,,,,,Dorea_sp_AF24_7LB,Clostridiaceae_bacterium_Marseille_Q4143,,,,,,,,,,,,,,,,,W
28,28,,Erysipelatoclostridium_ramosum,Phascolarctobacterium_succinatutens,,Clostridium_SGB4648,Blautia_SGB4815,,,,,Clostridiales_Family_XIII_bacterium_BX16,Turicibacter_bilis,,,,,,,,,,,,,,,,,3
29,29,,Faecalibacterium_SGB15315,Alistipes_ihumii,,Blautia_SGB4815,GGB9712_SGB15244,,,,,GGB79973_SGB14341,GGB9602_SGB15031,,,,,,,,,,,,,,,,,Phocaeicola_vulgatus
